"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","13","624 992","66 20",1920,"California","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_California"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","229 191","24 28",1920,"California","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_California"
"Eugene V Debs","Socialist","Indiana","Seymour Stedman","0","64 076","6 79",1920,"California","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_California"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","13","733 250","57 20",1924,"California","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_California"
"Robert M La Follette","Socialist","Wisconsin","Burton K Wheeler","0","424 649","33 13",1924,"California","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_California"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","105 514","8 23",1924,"California","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_California"
"Herbert Hoover","Republican","California","Charles Curtis","13","1 162 323","64 69",1928,"California","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_California"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","614 365","34 19",1928,"California","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_California"
"Franklin D Roosevelt","Democratic","New York","John N Garner","22","1 324 157","58 39",1932,"California","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_California"
"Herbert Hoover","Republican","California","Charles Curtis","0","847 902","37 39",1932,"California","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_California"
"Franklin D Roosevelt","Democratic","New York","John N Garner","22","1 766 836","66 95",1936,"California","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_California"
"Alf Landon","Republican","Kansas","Frank Knox","0","836 431","31 70",1936,"California","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_California"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","22","1 877 618","57 44",1940,"California","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_California"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","1 351 419","41 34",1940,"California","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_California"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","25","1 988 564","56 48",1944,"California","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_California"
"Thomas E Dewey","Republican","New York","John W Bricker","0","1 512 965","42 97",1944,"California","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_California"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","25","1 913 134","47 57",1948,"California","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_California"
"Thomas E Dewey","Republican","New York","Earl Warren","0","1 895 269","47 13",1948,"California","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_California"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","32","3 035 587","56 83",1952,"California","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_California"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","2 257 646","42 27",1952,"California","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_California"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","32","3 027 668","55 39",1956,"California","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_California"
"Adlai Stevenson II","Democratic","Illinois","Estes Kefauver","0","2 240 135","44 27",1956,"California","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_California"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","32","3 259 722","50 10",1960,"California","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_California"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","3 224 099","49 55",1960,"California","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_California"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","40","4 171 877","59 11",1964,"California","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_California"
"Barry Goldwater","Republican","Arizona","William E Miller","0","2 879 108","40 79",1964,"California","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_California"
"Richard Nixon","Republican","New York","Spiro Agnew","40","3 467 664","47 82",1968,"California","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_California"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","3 244 318","44 74",1968,"California","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_California"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","487 270","6 72",1968,"California","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_California"
"Richard Nixon","Republican","California","Spiro Agnew","45","4 602 096","55 00",1972,"California","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_California"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","3 475 847","41 54",1972,"California","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_California"
"Gerald Ford","Republican","Michigan","Bob Dole","45","3 882 244","49 35",1976,"California","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_California"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","3 742 284","47 57",1976,"California","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_California"
"Ronald Reagan","Republican","California","George H W Bush","45","4 524 858","52 69",1980,"California","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_California"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","3 083 661","35 91",1980,"California","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_California"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","739 833","8 62",1980,"California","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_California"
"Ronald Reagan","Republican","California","George H W Bush","47","5 467 009","57 51",1984,"California","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_California"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","3 922 519","41 27",1984,"California","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_California"
"George H W Bush","Republican","Texas","Dan Quayle","47","5 054 917","51 13",1988,"California","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_California"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","4 702 233","47 56",1988,"California","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_California"
"Bill Clinton","Democratic","Arkansas","Al Gore","54","5 121 325","46 01",1992,"California","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_California"
"George H W Bush","Republican","Texas","Dan Quayle","0","3 630 574","32 61",1992,"California","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_California"
"Ross Perot","Independent","Texas","James Stockdale","0","2 296 006","20 63",1992,"California","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_California"
"Bill Clinton","Democratic","Arkansas","Al Gore","54","5 119 835","51 10",1996,"California","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_California"
"Bob Dole","Republican","Kansas","Jack Kemp","0","3 828 380","38 21",1996,"California","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_California"
"Ross Perot","Reform","Texas","James Campbell","0","697 847","6 96",1996,"California","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_California"
"Al Gore","Democratic","Tennessee","Joe Lieberman","54","5 861 203","53 45",2000,"California","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_California"
"George W Bush","Republican","Texas","Dick Cheney","0","4 567 429","41 65",2000,"California","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_California"
