"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","6","173 248","59 32",1920,"Colorado","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Colorado"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","104 936","35 93",1920,"Colorado","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Colorado"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","6","195 171","57 02",1924,"Colorado","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Colorado"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","75 238","21 98",1924,"Colorado","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Colorado"
"Robert M La Follette","Farmer Labor","Wisconsin","Burton K Wheeler","0","69 945","20 44",1924,"Colorado","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Colorado"
"Herbert Hoover","Republican","California","Charles Curtis","6","253 872","64 72",1928,"Colorado","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Colorado"
"Al Smith","Democratic","New York","Joseph T Robinson","0","133 131","33 94",1928,"Colorado","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Colorado"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","6","250 877","54 8",1932,"Colorado","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Colorado"
"Herbert Hoover","Republican","California","Charles Curtis","0","189 617","41 4",1932,"Colorado","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Colorado"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","6","295 021","60 37",1936,"Colorado","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Colorado"
"Alf Landon","Republican","Kansas","Frank Knox","0","181 267","37 09",1936,"Colorado","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Colorado"
"Wendell Willkie","Republican","Indiana","Charles L McNary","6","279 576","50 9",1940,"Colorado","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Colorado"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","265 554","48 4",1940,"Colorado","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Colorado"
"Thomas E Dewey","Republican","New York","John W Bricker","6","268 731","53 2",1944,"Colorado","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Colorado"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","234 331","46 4",1944,"Colorado","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Colorado"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","6","267 288","51 9",1948,"Colorado","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Colorado"
"Thomas Dewey","Republican","New York","Earl Warren","0","239 714","46 5",1948,"Colorado","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Colorado"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","6","379 782","60 3",1952,"Colorado","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Colorado"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","245 504","38 9",1952,"Colorado","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Colorado"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","6","394 479","59 5",1956,"Colorado","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Colorado"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","263 997","39 8",1956,"Colorado","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Colorado"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","6","402 242","54 6",1960,"Colorado","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Colorado"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","330 629","44 9",1960,"Colorado","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Colorado"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","6","476 024","61 27",1964,"Colorado","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Colorado"
"Barry Goldwater","Republican","Arizona","William E Miller","0","296 767","38 19",1964,"Colorado","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Colorado"
"Richard Nixon","Republican","New York","Spiro Agnew","6","409 345","50 5",1968,"Colorado","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Colorado"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","335 174","41 3",1968,"Colorado","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Colorado"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","60 813","7 5",1968,"Colorado","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Colorado"
"Richard Nixon","Republican","California","Spiro Agnew","7","597 189","62 6",1972,"Colorado","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Colorado"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","329 980","34 6",1972,"Colorado","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Colorado"
"Gerald Ford","Republican","Michigan","Bob Dole","7","584 367","54 05",1976,"Colorado","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Colorado"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","460 353","42 58",1976,"Colorado","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Colorado"
"Ronald Reagan","Republican","California","George H W Bush","7","652 264","55 07",1980,"Colorado","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Colorado"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","367 973","31 07",1980,"Colorado","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Colorado"
"John B Anderson","National Unity","Illinois","Patrick Lucey","0","130 633","11 03",1980,"Colorado","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Colorado"
"Ronald Reagan","Republican","California","George H W Bush","8","821 818","63 44",1984,"Colorado","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Colorado"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","454 974","35 12",1984,"Colorado","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Colorado"
"George H W Bush","Republican","Texas","Dan Quayle","8","728 177","53 06",1988,"Colorado","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Colorado"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","621 453","45 28",1988,"Colorado","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Colorado"
"Bill Clinton","Democratic","Arkansas","Al Gore","8","629 681","40 13",1992,"Colorado","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Colorado"
"George H W Bush","Republican","Texas","Dan Quayle","0","562 850","35 87",1992,"Colorado","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Colorado"
"Ross Perot","Independent","Texas","James Stockdale","0","366 010","23 32",1992,"Colorado","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Colorado"
"Bob Dole","Republican","Kansas","Jack Kemp","8","691 848","45 80",1996,"Colorado","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Colorado"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","671 152","44 43",1996,"Colorado","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Colorado"
"Ross Perot","Reform","Texas","Pat Choate","0","99 629","6 59",1996,"Colorado","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Colorado"
"George W Bush","Republican","Texas","Dick Cheney","8","883 745","50 75",2000,"Colorado","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Colorado"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","738 227","42 39",2000,"Colorado","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Colorado"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","91 434","5 25",2000,"Colorado","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Colorado"
"George W Bush","Republican","Texas","Dick Cheney","9","1 101 255","51 69",2004,"Colorado","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Colorado"
"John Kerry","Democratic","Massachusetts","John Edwards","0","1 001 732","47 02",2004,"Colorado","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Colorado"
"Barack Obama","Democratic","Illinois","Joe Biden","9","1 288 633","53 66",2008,"Colorado","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Colorado"
"John McCain","Republican","Arizona","Sarah Palin","0","1 073 629","44 71",2008,"Colorado","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Colorado"
"Barack Obama","Democratic","Illinois","Joe Biden","9","1 323 101","51 49",2012,"Colorado","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Colorado"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","1 185 243","46 13",2012,"Colorado","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Colorado"
"Hillary Clinton","Democratic","New York","Tim Kaine","9","1 338 870","48 16",2016,"Colorado","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Colorado"
"Donald Trump","Republican","New York","Mike Pence","0","1 202 484","43 25",2016,"Colorado","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Colorado"
"Gary Johnson","Libertarian","New Mexico","Bill Weld","0","144 121","5 18",2016,"Colorado","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Colorado"
