"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","4","88 975","65 60",1920,"Idaho","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Idaho"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","46 579","34 34",1920,"Idaho","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Idaho"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","4","69 879","47 12",1924,"Idaho","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Idaho"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","54 160","36 52",1924,"Idaho","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Idaho"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","24 256","16 36",1924,"Idaho","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Idaho"
"Herbert Hoover","Republican","California","Charles Curtis","4","97 322","64 22",1928,"Idaho","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Idaho"
"Al Smith","Democratic","New York","Joseph T Robinson","0","52 926","34 93",1928,"Idaho","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Idaho"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","109 479","58 7",1932,"Idaho","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Idaho"
"Herbert Hoover","Republican","California","Charles Curtis","0","71 417","38 3",1932,"Idaho","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Idaho"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","125 683","63 0",1936,"Idaho","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Idaho"
"Alf Landon","Republican","Kansas","Frank Knox","0","66 256","33 2",1936,"Idaho","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Idaho"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","4","127 842","54 4",1940,"Idaho","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Idaho"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","106 553","45 3",1940,"Idaho","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Idaho"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","4","107 399","51 6",1944,"Idaho","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Idaho"
"Thomas E Dewey","Republican","New York","John W Bricker","0","100 137","48 1",1944,"Idaho","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Idaho"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","4","107 370","49 9",1948,"Idaho","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Idaho"
"Thomas Dewey","Republican","New York","Earl Warren","0","101 514","47 3",1948,"Idaho","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Idaho"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","180 707","65 42",1952,"Idaho","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Idaho"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","95 081","34 42",1952,"Idaho","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Idaho"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","166 979","61 2",1956,"Idaho","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Idaho"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","105 868","38 8",1956,"Idaho","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Idaho"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","4","161 597","53 8",1960,"Idaho","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Idaho"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","138 853","46 2",1960,"Idaho","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Idaho"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","148 920","50 92",1964,"Idaho","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Idaho"
"Barry Goldwater","Republican","Arizona","William E Miller","0","143 577","49 08",1964,"Idaho","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Idaho"
"Richard Nixon","Republican","New York","Spiro Agnew","4","165 369","56 8",1968,"Idaho","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Idaho"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","89 273","30 7",1968,"Idaho","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Idaho"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","36 541","12 6",1968,"Idaho","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Idaho"
"Richard Nixon","Republican","California","Spiro Agnew","4","199 384","64 2",1972,"Idaho","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Idaho"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","80 826","26 0",1972,"Idaho","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Idaho"
"John G Schmitz","American Independent","California","Thomas J Anderson","0","28 869","9 3",1972,"Idaho","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Idaho"
"Gerald Ford","Republican","Michigan","Bob Dole","4","204 151","59 9",1976,"Idaho","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Idaho"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","126 549","37 1",1976,"Idaho","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Idaho"
"Ronald Reagan","Republican","California","George H W Bush","4","290 699","66 46",1980,"Idaho","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Idaho"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","110 192","25 19",1980,"Idaho","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Idaho"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","27 058","6 19",1980,"Idaho","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Idaho"
"Ronald Reagan","Republican","California","George H W Bush","4","297 523","72 36",1984,"Idaho","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Idaho"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","108 510","26 39",1984,"Idaho","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Idaho"
"George H W Bush","Republican","Texas","Dan Quayle","4","253 881","62 08",1988,"Idaho","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Idaho"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","147 272","36 01",1988,"Idaho","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Idaho"
"George H W Bush","Republican","Texas","Dan Quayle","4","202 645","42 03",1992,"Idaho","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Idaho"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","137 013","28 42",1992,"Idaho","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Idaho"
"Ross Perot","Independent","Texas","James Stockdale","0","130 395","27 05",1992,"Idaho","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Idaho"
"Bob Dole","Republican","Kansas","Jack Kemp","4","256 595","52 18",1996,"Idaho","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Idaho"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","165 443","33 65",1996,"Idaho","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Idaho"
"Ross Perot","Reform","Texas","Patrick Choate","0","62 518","12 71",1996,"Idaho","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Idaho"
"George W Bush","Republican","Texas","Dick Cheney","4","336 937","67 17",2000,"Idaho","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Idaho"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","138 637","27 64",2000,"Idaho","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Idaho"
"George W Bush","Republican","Texas","Dick Cheney","4","409 235","68 38",2004,"Idaho","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Idaho"
"John Kerry","Democratic","Massachusetts","John Edwards","0","181 098","30 26",2004,"Idaho","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Idaho"
"John McCain","Republican","Arizona","Sarah Palin","4","403 012","61 21",2008,"Idaho","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Idaho"
"Barack Obama","Democratic","Illinois","Joe Biden","0","236 440","35 91",2008,"Idaho","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Idaho"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","4","420 911","64 09",2012,"Idaho","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Idaho"
"Barack Obama","Democratic","Illinois","Joe Biden","0","212 787","32 40",2012,"Idaho","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Idaho"
"Donald Trump","Republican","New York","Mike Pence","4","409 055","59 25",2016,"Idaho","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Idaho"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","189 765","27 48",2016,"Idaho","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Idaho"
"Evan McMullin","Independent","Utah","Nathan Johnson","0","46 476","6 73",2016,"Idaho","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Idaho"
