"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","13","456 497","49 69",1920,"Kentucky","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Kentucky"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","452 480","49 25",1920,"Kentucky","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Kentucky"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","13","398 966","48 93",1924,"Kentucky","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Kentucky"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","374 855","45 98",1924,"Kentucky","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Kentucky"
"Herbert Hoover","Republican","California","Charles Curtis","13","558 734","59 36",1928,"Kentucky","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Kentucky"
"Al Smith","Democratic","New York","Joseph T Robinson","0","381 070","40 48",1928,"Kentucky","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Kentucky"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","580 574","59 1",1932,"Kentucky","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Kentucky"
"Herbert Hoover","Republican","California","Charles Curtis","0","394 716","40 2",1932,"Kentucky","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Kentucky"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","541 944","58 5",1936,"Kentucky","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Kentucky"
"Alf Landon","Republican","Kansas","Frank Knox","0","369 702","39 9",1936,"Kentucky","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Kentucky"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","11","557 332","57 45",1940,"Kentucky","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Kentucky"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","410 384","42 3",1940,"Kentucky","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Kentucky"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","11","472 589","54 5",1944,"Kentucky","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Kentucky"
"Thomas E Dewey","Republican","New York","John W Bricker","0","392 448","45 2",1944,"Kentucky","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Kentucky"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","11","466 756","56 7",1948,"Kentucky","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Kentucky"
"Thomas E Dewey","Republican","New York","Earl Warren","0","341 210","41 5",1948,"Kentucky","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Kentucky"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","10","495 729","49 9",1952,"Kentucky","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Kentucky"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","0","495 029","49 8",1952,"Kentucky","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Kentucky"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","10","572 192","54 3",1956,"Kentucky","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Kentucky"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","476 453","45 2",1956,"Kentucky","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Kentucky"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","10","602 607","53 6",1960,"Kentucky","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Kentucky"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","521 855","46 4",1960,"Kentucky","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Kentucky"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","9","669 659","64 0",1964,"Kentucky","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Kentucky"
"Barry Goldwater","Republican","Arizona","William E Miller","0","372 977","35 7",1964,"Kentucky","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Kentucky"
"Richard Nixon","Republican","New York","Spiro Agnew","9","462 411","43 8",1968,"Kentucky","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Kentucky"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","397 541","37 7",1968,"Kentucky","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Kentucky"
"George Wallace","American","Alabama","S Marvin Griffin","0","193 098","18 3",1968,"Kentucky","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Kentucky"
"Richard Nixon","Republican","California","Spiro Agnew","9","676 446","63 4",1972,"Kentucky","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Kentucky"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","371 159","34 8",1972,"Kentucky","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Kentucky"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","9","615 717","52 8",1976,"Kentucky","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Kentucky"
"Gerald Ford","Republican","Michigan","Bob Dole","0","531 852","45 6",1976,"Kentucky","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Kentucky"
"Ronald Reagan","Republican","California","George H W Bush","9","635 274","49 07",1980,"Kentucky","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Kentucky"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","616 417","47 61",1980,"Kentucky","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Kentucky"
"Ronald Reagan","Republican","California","George H W Bush","9","822 782","60 04",1984,"Kentucky","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Kentucky"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","539 589","39 37",1984,"Kentucky","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Kentucky"
"George H W Bush","Republican","Texas","Dan Quayle","9","734 281","55 52",1988,"Kentucky","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Kentucky"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","580 368","43 88",1988,"Kentucky","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Kentucky"
"Bill Clinton","Democratic","Arkansas","Al Gore","8","665 104","44 55",1992,"Kentucky","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Kentucky"
"George H W Bush","Republican","Texas","Dan Quayle","0","617 178","41 34",1992,"Kentucky","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Kentucky"
"Ross Perot","Independent","Texas","James Stockdale","0","203 944","13 66",1992,"Kentucky","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Kentucky"
