"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","15","762 865","72 76",1920,"Michigan","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Michigan"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","233 450","22 27",1920,"Michigan","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Michigan"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","15","874 631","75 37",1924,"Michigan","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Michigan"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","152 359","13 13",1924,"Michigan","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Michigan"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","122 014","10 51",1924,"Michigan","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Michigan"
"Herbert Hoover","Republican","California","Charles Curtis","15","965 396","70 36",1928,"Michigan","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Michigan"
"Al Smith","Democratic","New York","Joseph T Robinson","0","396 762","28 92",1928,"Michigan","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Michigan"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","19","871 700","52 36",1932,"Michigan","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Michigan"
"Herbert Hoover","Republican","California","Charles Curtis","0","739 894","44 44",1932,"Michigan","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Michigan"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","19","1 016 794","56 33",1936,"Michigan","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Michigan"
"Alf Landon","Republican","Kansas","Frank Knox","0","699 733","38 76",1936,"Michigan","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Michigan"
"Wendell Willkie","Republican","New York","Charles L McNary","19","1 039 917","49 85",1940,"Michigan","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Michigan"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","1 032 991","49 52",1940,"Michigan","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Michigan"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","19","1 106 899","50 19",1944,"Michigan","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Michigan"
"Thomas E Dewey","Republican","New York","John W Bricker","0","1 084 423","49 18",1944,"Michigan","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Michigan"
"Thomas E Dewey","Republican","New York","Earl Warren","19","1 038 595","49 2",1948,"Michigan","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Michigan"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","1 003 448","47 6",1948,"Michigan","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Michigan"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","20","1 551 529","55 44",1952,"Michigan","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Michigan"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","1 230 657","43 97",1952,"Michigan","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Michigan"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","20","1 713 647","55 63",1956,"Michigan","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Michigan"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","1 359 898","44 15",1956,"Michigan","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Michigan"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","20","1 687 269","50 9",1960,"Michigan","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Michigan"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","1 620 428","48 8",1960,"Michigan","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Michigan"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","21","2 136 615","66 7",1964,"Michigan","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Michigan"
"Barry Goldwater","Republican","Arizona","William E Miller","0","1 060 152","33 1",1964,"Michigan","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Michigan"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","21","1 593 082","48 2",1968,"Michigan","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Michigan"
"Richard Nixon","Republican","New York","Spiro Agnew","0","1 370 665","41 5",1968,"Michigan","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Michigan"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","331 968","10 0",1968,"Michigan","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Michigan"
"Richard Nixon","Republican","California","Spiro Agnew","21","1 961 721","56 2",1972,"Michigan","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Michigan"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","1 459 435","41 8",1972,"Michigan","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Michigan"
"Gerald Ford","Republican","Michigan","Bob Dole","21","1 893 742","51 83",1976,"Michigan","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Michigan"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","1 696 714","46 44",1976,"Michigan","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Michigan"
"Ronald Reagan","Republican","California","George H W Bush","21","1 915 225","48 99",1980,"Michigan","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Michigan"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","1 661 532","42 50",1980,"Michigan","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Michigan"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","275 223","7 04",1980,"Michigan","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Michigan"
"Ronald Reagan","Republican","California","George H W Bush","20","2 251 571","59 23",1984,"Michigan","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Michigan"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","1 529 638","40 24",1984,"Michigan","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Michigan"
"George H W Bush","Republican","Texas","Dan Quayle","20","1 965 486","53 57",1988,"Michigan","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Michigan"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","1 675 783","45 67",1988,"Michigan","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Michigan"
"Bill Clinton","Democratic","Arkansas","Al Gore","18","1 871 182","43 77",1992,"Michigan","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Michigan"
"George H W Bush","Republican","Texas","Dan Quayle","0","1 554 940","36 38",1992,"Michigan","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Michigan"
"Ross Perot","Independent","Texas","James Stockdale","0","824 813","19 30",1992,"Michigan","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Michigan"
"Bill Clinton","Democratic","Arkansas","Al Gore","18","1 989 653","51 69",1996,"Michigan","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Michigan"
"Bob Dole","Republican","Kansas","Jack Kemp","0","1 481 212","38 48",1996,"Michigan","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Michigan"
"Ross Perot","Reform","Texas","Pat Choate","0","336 670","8 75",1996,"Michigan","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Michigan"
"Al Gore","Democratic","Tennessee","Joe Lieberman","18","2 170 418","51 28",2000,"Michigan","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Michigan"
"George W Bush","Republican","Texas","Dick Cheney","0","1 953 139","46 15",2000,"Michigan","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Michigan"
"John Kerry","Democratic","Massachusetts","John Edwards","17","2 479 183","51 23",2004,"Michigan","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Michigan"
"George W Bush","Republican","Texas","Dick Cheney","0","2 313 746","47 81",2004,"Michigan","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Michigan"
"Barack Obama","Democratic","Illinois","Joe Biden","17","2 867 680","57 33",2008,"Michigan","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Michigan"
"John McCain","Republican","Arizona","Sarah Palin","0","2 044 405","40 89",2008,"Michigan","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Michigan"
"Barack Obama","Democratic","Illinois","Joe Biden","16","2 564 569","54 21",2012,"Michigan","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","2 115 256","44 71",2012,"Michigan","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan"
"Donald Trump","Republican","New York","Mike Pence","16","2 279 543","47 50",2016,"Michigan","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","2 268 839","47 27",2016,"Michigan","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan"
