"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","12","519 421","70 6",1920,"Minnesota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Minnesota"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","142 994","19 4",1920,"Minnesota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Minnesota"
"Eugene V Debs","Socialist","Indiana","Seymour Stedman","0","56 106","7 6",1920,"Minnesota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Minnesota"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","12","420 759","51 2",1924,"Minnesota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Minnesota"
"Robert M La Follette","Independent","Wisconsin","Burton K Wheeler","0","339 192","41 3",1924,"Minnesota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Minnesota"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","55 913","6 8",1924,"Minnesota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Minnesota"
"Herbert Hoover","Republican","California","Charles Curtis","12","560 977","57 8",1928,"Minnesota","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Minnesota"
"Al Smith","Democratic","New York","Joseph T Robinson","0","396 451","40 8",1928,"Minnesota","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Minnesota"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","600 806","59 9",1932,"Minnesota","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Minnesota"
"Herbert Hoover","Republican","California","Charles Curtis","0","363 959","36 3",1932,"Minnesota","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Minnesota"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","698 811","61 8",1936,"Minnesota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Minnesota"
"Alf Landon","Republican","Kansas","Frank Knox","0","350 461","31 0",1936,"Minnesota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Minnesota"
"William Lemke","Union","North Dakota","Thomas C O Brien","0","74 296","6 6",1936,"Minnesota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Minnesota"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","11","644 196","51 5",1940,"Minnesota","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Minnesota"
"Wendell Willkie","Republican","New York","Charles L McNary","0","596 274","47 7",1940,"Minnesota","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Minnesota"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","11","589 864","52 4",1944,"Minnesota","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Minnesota"
"Thomas E Dewey","Republican","New York","John W Bricker","0","527 416","46 9",1944,"Minnesota","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Minnesota"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","11","692 966","57 2",1948,"Minnesota","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Minnesota"
"Thomas E Dewey","Republican","New York","Earl Warren","0","483 617","39 9",1948,"Minnesota","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Minnesota"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","11","763 211","55 3",1952,"Minnesota","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Minnesota"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","608 458","44 1",1952,"Minnesota","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Minnesota"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","11","719 302","53 7",1956,"Minnesota","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Minnesota"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","617 525","46 1",1956,"Minnesota","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Minnesota"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","11","779 933","50 6",1960,"Minnesota","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Minnesota"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","757 915","49 2",1960,"Minnesota","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Minnesota"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","10","991 117","63 8",1964,"Minnesota","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Minnesota"
"Barry Goldwater","Republican","Arizona","William E Miller","0","559 624","36 0",1964,"Minnesota","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Minnesota"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","10","857 738","54 0",1968,"Minnesota","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Minnesota"
"Richard Nixon","Republican","New York","Spiro Agnew","0","658 643","41 5",1968,"Minnesota","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Minnesota"
"Richard Nixon","Republican","California","Spiro Agnew","10","898 269","51 6",1972,"Minnesota","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Minnesota"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","802 346","46 1",1972,"Minnesota","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Minnesota"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","10","1 070 440","54 90",1976,"Minnesota","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Minnesota"
"Gerald Ford","Republican","Michigan","Bob Dole","0","819 395","42 02",1976,"Minnesota","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Minnesota"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","10","954 174","46 50",1980,"Minnesota","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Minnesota"
"Ronald Reagan","Republican","California","George H W Bush","0","873 241","42 56",1980,"Minnesota","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Minnesota"
"John B Anderson","Anderson Coalition","Illinois","Patrick Lucey","0","174 990","8 53",1980,"Minnesota","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Minnesota"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","10","1 036 364","49 72",1984,"Minnesota","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Minnesota"
"Ronald Reagan","Republican","California","George H W Bush","0","1 032 603","49 54",1984,"Minnesota","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Minnesota"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","10","1 109 471","52 91",1988,"Minnesota","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Minnesota"
"George H W Bush","Republican","Texas","Dan Quayle","0","962 337","45 90",1988,"Minnesota","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Minnesota"
"Bill Clinton","Democratic","Arkansas","Al Gore","10","1 020 997","43 48",1992,"Minnesota","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Minnesota"
"George H W Bush","Republican","Texas","Dan Quayle","0","747 841","31 85",1992,"Minnesota","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Minnesota"
"Ross Perot","Independent","Texas","James Stockdale","0","562 506","23 96",1992,"Minnesota","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Minnesota"
"Bill Clinton","Democratic","Arkansas","Al Gore","10","1 120 438","51 10",1996,"Minnesota","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Minnesota"
