"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren Harding","Republican","Ohio","Calvin Coolidge","18","727 162","54 56",1920,"Missouri","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Missouri"
"James Cox","Democratic","Ohio","Franklin D Roosevelt","0","574 799","43 13",1920,"Missouri","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Missouri"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","18","648 486","49 58",1924,"Missouri","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Missouri"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","572 753","43 79",1924,"Missouri","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Missouri"
"Robert M La Follette","Socialist","Wisconsin","Burton K Wheeler","0","84 160","6 43",1924,"Missouri","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Missouri"
"Herbert Hoover","Republican","California","Charles Curtis","18","834 080","55 58",1928,"Missouri","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Missouri"
"Al Smith","Democratic","New York","Joseph T Robinson","0","662 562","44 15",1928,"Missouri","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Missouri"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","15","1 025 406","63 7",1932,"Missouri","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Missouri"
"Herbert Hoover","Republican","California","Charles Curtis","0","564 713","35 1",1932,"Missouri","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Missouri"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","15","1 111 043","60 8",1936,"Missouri","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Missouri"
"Alf Landon","Republican","Kansas","Frank Knox","0","697 891","38 2",1936,"Missouri","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Missouri"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","15","958 476","52 3",1940,"Missouri","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Missouri"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","871 009","47 5",1940,"Missouri","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Missouri"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","15","807 804","51 4",1944,"Missouri","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Missouri"
"Thomas E Dewey","Republican","New York","John W Bricker","0","761 524","48 4",1944,"Missouri","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Missouri"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","15","917 315","58 1",1948,"Missouri","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Missouri"
"Thomas E Dewey","Republican","New York","Earl Warren","0","655 039","41 5",1948,"Missouri","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Missouri"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","13","959 429","50 71",1952,"Missouri","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Missouri"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","929 830","49 14",1952,"Missouri","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Missouri"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","13","918 273","50 1",1956,"Missouri","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Missouri"
"Dwight Eisenhower","Republican","Pennsylvania","Richard Nixon","0","914 289","49 9",1956,"Missouri","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Missouri"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","13","972 201","50 3",1960,"Missouri","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Missouri"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","962 221","49 7",1960,"Missouri","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Missouri"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","12","1 164 344","64 05",1964,"Missouri","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Missouri"
"Barry Goldwater","Republican","Arizona","William E Miller","0","653 535","35 95",1964,"Missouri","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Missouri"
"Richard Nixon","Republican","New York","Spiro Agnew","12","811 932","44 87",1968,"Missouri","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Missouri"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","791 444","43 74",1968,"Missouri","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Missouri"
"George Wallace","American Independent","Alabama","S Marvin Griffin","0","206 126","11 39",1968,"Missouri","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Missouri"
"Richard Nixon","Republican","California","Spiro Agnew","12","1 154 058","62 29",1972,"Missouri","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Missouri"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","698 531","37 71",1972,"Missouri","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Missouri"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","12","998 387","51 1",1976,"Missouri","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Missouri"
"Gerald Ford","Republican","Michigan","Bob Dole","0","927 443","47 5",1976,"Missouri","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Missouri"
"Ronald Reagan","Republican","California","George H W Bush","12","1 074 181","51 16",1980,"Missouri","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Missouri"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","931 182","44 35",1980,"Missouri","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Missouri"
"Ronald Reagan","Republican","California","George H W Bush","11","1 274 188","60 02",1984,"Missouri","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Missouri"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","848 583","39 98",1984,"Missouri","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Missouri"
"George H W Bush","Republican","Texas","Dan Quayle","11","1 084 953","51 83",1988,"Missouri","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Missouri"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","1 001 619","47 85",1988,"Missouri","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Missouri"
"Bill Clinton","Democratic","Arkansas","Al Gore","11","1 053 873","44 07",1992,"Missouri","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Missouri"
"George H W Bush","Republican","Texas","Dan Quayle","0","811 159","33 92",1992,"Missouri","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Missouri"
"Ross Perot","Independent","Texas","James Stockdale","0","518 741","21 69",1992,"Missouri","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Missouri"
"Bill Clinton","Democratic","Arkansas","Al Gore","11","1 025 935","47 54",1996,"Missouri","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Missouri"
"Bob Dole","Republican","Kansas","Jack Kemp","0","890 016","41 24",1996,"Missouri","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Missouri"
"Ross Perot","Reform","Texas","James Campbell","0","217 188","10 06",1996,"Missouri","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Missouri"
"George W Bush","Republican","Texas","Dick Cheney","11","1 189 924","50 42",2000,"Missouri","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Missouri"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","1 111 138","47 08",2000,"Missouri","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Missouri"
"George W Bush","Republican","Texas","Dick Cheney","11","1 455 713","53 30",2004,"Missouri","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Missouri"
"John Kerry","Democratic","Massachusetts","John Edwards","0","1 259 171","46 10",2004,"Missouri","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Missouri"
"John McCain","Republican","Arizona","Sarah Palin","11","1 445 814","49 36",2008,"Missouri","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Missouri"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 441 911","49 23",2008,"Missouri","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Missouri"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","10","1 482 440","53 76",2012,"Missouri","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Missouri"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 223 796","44 38",2012,"Missouri","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Missouri"
"Donald Trump","Republican","New York","Mike Pence","10","1 594 511","56 38",2016,"Missouri","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Missouri"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","1 071 068","37 87",2016,"Missouri","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Missouri"
