"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","3","57 634","54 7",1920,"New_Mexico","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Mexico"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","46 668","44 3",1920,"New_Mexico","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Mexico"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","3","54 745","48 5",1924,"New_Mexico","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Mexico"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","48 542","43 0",1924,"New_Mexico","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Mexico"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","9 543","8 5",1924,"New_Mexico","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Mexico"
"Herbert Hoover","Republican","California","Charles Curtis","3","69 645","59 0",1928,"New_Mexico","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Mexico"
"Al Smith","Democratic","New York","Joseph T Robinson","0","48 211","40 9",1928,"New_Mexico","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Mexico"
"Franklin D Roosevelt","Democratic","New York","John N Garner","3","95 089","62 7",1932,"New_Mexico","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Mexico"
"Herbert Hoover","Republican","California","Charles Curtis","0","54 217","35 8",1932,"New_Mexico","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Mexico"
"Franklin D Roosevelt","Democratic","New York","John N Garner","3","106 037","62 7",1936,"New_Mexico","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Mexico"
"Alf Landon","Republican","Kansas","Frank Knox","0","61 727","36 5",1936,"New_Mexico","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Mexico"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","3","103 699","56 6",1940,"New_Mexico","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Mexico"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","79 315","43 3",1940,"New_Mexico","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Mexico"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","4","81 389","53 5",1944,"New_Mexico","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Mexico"
"Thomas E Dewey","Republican","New York","John W Bricker","0","70 688","46 4",1944,"New_Mexico","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Mexico"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","4","105 464","56 4",1948,"New_Mexico","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Mexico"
"Thomas E Dewey","Republican","New York","Earl Warren","0","80 303","42 9",1948,"New_Mexico","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Mexico"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","132 170","55 4",1952,"New_Mexico","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Mexico"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","105 661","44 3",1952,"New_Mexico","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Mexico"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","146 788","57 8",1956,"New_Mexico","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Mexico"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","106 098","41 8",1956,"New_Mexico","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Mexico"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","4","156 027","50 2",1960,"New_Mexico","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Mexico"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","153 733","49 4",1960,"New_Mexico","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Mexico"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","194 017","59 2",1964,"New_Mexico","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Mexico"
"Barry Goldwater","Republican","Arizona","William E Miller","0","131 838","40 2",1964,"New_Mexico","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Mexico"
"Richard Nixon","Republican","New York","Spiro Agnew","4","169 692","51 85",1968,"New_Mexico","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Mexico"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","130 081","39 75",1968,"New_Mexico","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Mexico"
"George Wallace","American Independent","Alabama","S Marvin Griffin","0","25 737","7 86",1968,"New_Mexico","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Mexico"
"Richard Nixon","Republican","California","Spiro Agnew","4","235 606","61 1",1972,"New_Mexico","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Mexico"
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton","0","141 084","36 6",1972,"New_Mexico","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Mexico"
"Gerald Ford","Republican","Michigan","Bob Dole","4","211 419","50 8",1976,"New_Mexico","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Mexico"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","201 148","48 3",1976,"New_Mexico","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Mexico"
"Ronald Reagan","Republican","California","George H W Bush","4","250 779","54 97",1980,"New_Mexico","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Mexico"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","167 826","36 78",1980,"New_Mexico","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Mexico"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","29 459","6 46",1980,"New_Mexico","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Mexico"
"Ronald Reagan","Republican","California","George H W Bush","5","307 101","59 70",1984,"New_Mexico","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Mexico"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","201 769","39 23",1984,"New_Mexico","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Mexico"
"George H W Bush","Republican","Texas","Dan Quayle","5","270 341","51 86",1988,"New_Mexico","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Mexico"
