"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","45","1 871 167","64 56",1920,"New_York","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_York"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","781 238","26 95",1920,"New_York","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_York"
"Eugene V Debs","Socialist","Indiana","Seymour Stedman","0","203 201","7 01",1920,"New_York","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_York"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","45","1 820 058","55 76",1924,"New_York","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_York"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","950 796","29 13",1924,"New_York","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_York"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","474 913","14 55",1924,"New_York","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_York"
"Herbert Hoover","Republican","California","Charles Curtis","45","2 193 344","49 79",1928,"New_York","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_York"
"Al Smith","Democratic","New York","Joseph T Robinson","0","2 089 863","47 44",1928,"New_York","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_York"
"Franklin D Roosevelt","Democratic","New York","John N Garner","47","2 534 959","54 07",1932,"New_York","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_York"
"Herbert Hoover","Republican","California","Charles Curtis","0","1 937 963","41 33",1932,"New_York","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_York"
"Franklin D Roosevelt","Democratic","New York","John N Garner","47","3 293 222","58 85",1936,"New_York","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_York"
"Alf Landon","Republican","Kansas","Frank Knox","0","2 180 670","38 97",1936,"New_York","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_York"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","47","3 251 918","51 50",1940,"New_York","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_York"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","3 027 478","47 95",1940,"New_York","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_York"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","47","3 304 238","52 31",1944,"New_York","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_York"
"Thomas E Dewey","Republican","New York","John W Bricker","0","2 987 647","47 30",1944,"New_York","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_York"
"Thomas E Dewey","Republican","New York","Earl Warren","47","2 841 163","45 99",1948,"New_York","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_York"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","2 780 204","45 01",1948,"New_York","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_York"
"Henry Wallace","American Labor","Iowa","Glen Taylor","0","509 559","8 25",1948,"New_York","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_York"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","45","3 952 815","55 45",1952,"New_York","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_York"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","3 104 601","43 55",1952,"New_York","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_York"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","45","4 345 506","61 24",1956,"New_York","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_York"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","2 747 944","38 73",1956,"New_York","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_York"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","45","3 830 085","52 53",1960,"New_York","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_York"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","3 446 419","47 27",1960,"New_York","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_York"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","43","4 913 156","68 56",1964,"New_York","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_York"
"Barry Goldwater","Republican","Arizona","William E Miller","0","2 243 559","31 31",1964,"New_York","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_York"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","43","3 378 470","49 76",1968,"New_York","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_York"
