"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","5","160 072","77 97",1920,"North_Dakota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Dakota"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","37 422","18 19",1920,"North_Dakota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Dakota"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","5","94 931","47 68",1924,"North_Dakota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Dakota"
"Robert M La Follette","Nonpartisan League","Wisconsin","Burton K Wheeler","0","89 922","45 17",1924,"North_Dakota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Dakota"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","13 858","6 96",1924,"North_Dakota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Dakota"
"Herbert Hoover","Republican","California","Charles Curtis","5","131 441","54 80",1928,"North_Dakota","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_North_Dakota"
"Al Smith","Democratic","New York","Joseph T Robinson","0","106 148","44 46",1928,"North_Dakota","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_North_Dakota"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","178 350","69 6",1932,"North_Dakota","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_North_Dakota"
"Herbert Hoover","Republican","California","Charles Curtis","0","71 772","28 0",1932,"North_Dakota","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_North_Dakota"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","163 148","59 60",1936,"North_Dakota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Dakota"
"Alf Landon","Republican","Kansas","Frank Knox","0","72 751","26 58",1936,"North_Dakota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Dakota"
"William Lemke","Union","North Dakota","Thomas C O Brien","0","36 708","13 41",1936,"North_Dakota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Dakota"
"Wendell Willkie","Republican","Indiana","Charles L McNary","4","154 590","55 1",1940,"North_Dakota","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_North_Dakota"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","124 036","44 2",1940,"North_Dakota","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_North_Dakota"
"Thomas E Dewey","Republican","New York","John W Bricker","4","118 535","53 8",1944,"North_Dakota","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_North_Dakota"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","100 144","45 5",1944,"North_Dakota","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_North_Dakota"
"Thomas Dewey","Republican","New York","Earl Warren","4","115 139","52 2",1948,"North_Dakota","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Dakota"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","95 812","43 4",1948,"North_Dakota","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Dakota"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","191 712","70 97",1952,"North_Dakota","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_North_Dakota"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","76 694","28 39",1952,"North_Dakota","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_North_Dakota"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","156 766","61 7",1956,"North_Dakota","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_North_Dakota"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","96 742","38 1",1956,"North_Dakota","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_North_Dakota"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","4","154 310","55 42",1960,"North_Dakota","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_North_Dakota"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","123 963","44 52",1960,"North_Dakota","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_North_Dakota"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","149 784","57 97",1964,"North_Dakota","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_North_Dakota"
"Barry Goldwater","Republican","Arizona","William E Miller","0","108 207","41 88",1964,"North_Dakota","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_North_Dakota"
"Richard Nixon","Republican","New York","Spiro Agnew","4","138 669","55 94",1968,"North_Dakota","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Dakota"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","94 769","38 23",1968,"North_Dakota","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Dakota"
"George Wallace","Independent","Alabama","Curtis LeMay","0","14 244","5 75",1968,"North_Dakota","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Dakota"
"Richard Nixon","Republican","California","Spiro Agnew","3","174 109","62 07",1972,"North_Dakota","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_North_Dakota"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","100 384","35 79",1972,"North_Dakota","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_North_Dakota"
"Gerald Ford","Republican","Michigan","Bob Dole","3","153 470","51 66",1976,"North_Dakota","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_North_Dakota"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","136 078","45 80",1976,"North_Dakota","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_North_Dakota"
"Ronald Reagan","Republican","California","George H W Bush","3","193 695","64 23",1980,"North_Dakota","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Dakota"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","79 189","26 26",1980,"North_Dakota","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Dakota"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","23 640","7 84",1980,"North_Dakota","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Dakota"
"Ronald Reagan","Republican","California","George H W Bush","3","200 336","64 84",1984,"North_Dakota","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_North_Dakota"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","104 429","33 80",1984,"North_Dakota","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_North_Dakota"
"George H W Bush","Republican","Texas","Dan Quayle","3","166 559","56 03",1988,"North_Dakota","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_North_Dakota"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","127 739","42 97",1988,"North_Dakota","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_North_Dakota"
"George H W Bush","Republican","Texas","Dan Quayle","3","136 244","44 22",1992,"North_Dakota","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Dakota"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","99 168","32 18",1992,"North_Dakota","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Dakota"
