"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","24","1 182 022","58 47",1920,"Ohio","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Ohio"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","780 037","38 58",1920,"Ohio","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Ohio"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","24","1 176 130","58 33",1924,"Ohio","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Ohio"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","477 888","23 70",1924,"Ohio","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Ohio"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","357 948","17 75",1924,"Ohio","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Ohio"
"Herbert Hoover","Republican","California","Charles Curtis","24","1 627 546","64 89",1928,"Ohio","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Ohio"
"Al Smith","Democratic","New York","Joseph T Robinson","0","864 210","34 45",1928,"Ohio","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Ohio"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","26","1 301 695","49 88",1932,"Ohio","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Ohio"
"Herbert Hoover","Republican","California","Charles Curtis","0","1 227 319","47 03",1932,"Ohio","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Ohio"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","26","1 747 140","57 99",1936,"Ohio","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Ohio"
"Alf Landon","Republican","Kansas","Frank Knox","0","1 127 855","37 44",1936,"Ohio","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Ohio"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","26","1 733 139","52 20",1940,"Ohio","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Ohio"
"Wendell Willkie","Republican","New York","Charles L McNary","0","1 586 773","47 80",1940,"Ohio","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Ohio"
"Thomas E Dewey","Republican","New York","John W Bricker","25","1 582 293","50 18",1944,"Ohio","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Ohio"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","1 570 763","49 82",1944,"Ohio","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Ohio"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","25","1 452 791","49 48",1948,"Ohio","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Ohio"
"Thomas E Dewey","Republican","New York","Earl Warren","0","1 445 684","49 24",1948,"Ohio","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Ohio"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","25","2 100 391","56 76",1952,"Ohio","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Ohio"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","1 600 367","43 24",1952,"Ohio","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Ohio"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","25","2 262 610","61 11",1956,"Ohio","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Ohio"
"Adlai E Stevenson","Democratic","Illinois","Estes Kefauver","0","1 439 655","38 89",1956,"Ohio","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Ohio"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","25","2 217 611","53 28",1960,"Ohio","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Ohio"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","1 944 248","46 72",1960,"Ohio","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Ohio"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","26","2 498 331","62 94",1964,"Ohio","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Ohio"
"Barry Goldwater","Republican","Arizona","William E Miller","0","1 470 865","37 06",1964,"Ohio","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Ohio"
"Richard Nixon","Republican","New York","Spiro Agnew","26","1 791 014","45 23",1968,"Ohio","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Ohio"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","1 700 586","42 95",1968,"Ohio","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Ohio"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","467 495","11 81",1968,"Ohio","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Ohio"
"Richard Nixon","Republican","California","Spiro Agnew","25","2 441 827","59 63",1972,"Ohio","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Ohio"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","1 558 889","38 07",1972,"Ohio","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Ohio"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","25","2 011 621","48 92",1976,"Ohio","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Ohio"
"Gerald Ford","Republican","Michigan","Bob Dole","0","2 000 505","48 65",1976,"Ohio","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Ohio"
"Ronald Reagan","Republican","California","George H W Bush","25","2 206 545","51 51",1980,"Ohio","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Ohio"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","1 752 414","40 91",1980,"Ohio","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Ohio"
