"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","9","64 170","96 05",1920,"South_Carolina","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_South_Carolina"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","2 610","3 91",1920,"South_Carolina","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_South_Carolina"
"John W Davis","Democratic","West Virginia","Charles W Bryan","9","49 008","96 56",1924,"South_Carolina","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_South_Carolina"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","1 123","2 21",1924,"South_Carolina","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_South_Carolina"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","9","62 700","91 39",1928,"South_Carolina","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_South_Carolina"
"Herbert Hoover","Republican","California","Charles Curtis","0","5 858","8 54",1928,"South_Carolina","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_South_Carolina"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","8","102 347","98 03",1932,"South_Carolina","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_South_Carolina"
"Herbert Hoover","Republican","California","Charles Curtis","0","1 978","1 89",1932,"South_Carolina","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_South_Carolina"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","8","113 791","98 57",1936,"South_Carolina","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_South_Carolina"
"Alfred Landon","Republican","Kansas","Frank Knox","0","1 646","1 43",1936,"South_Carolina","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_South_Carolina"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","8","95 470","95 63",1940,"South_Carolina","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_South_Carolina"
"Wendell Willkie","Republican","New York","Charles L McNary","0","4 360","4 36",1940,"South_Carolina","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_South_Carolina"
