"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","5","110 692","60 74",1920,"South_Dakota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_South_Dakota"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","35 938","19 72",1920,"South_Dakota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_South_Dakota"
"Parley P Christensen","Nonpartisan League","Illinois","Max S Hayes","0","34 707","19 04",1920,"South_Dakota","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_South_Dakota"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","5","101 299","49 69",1924,"South_Dakota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_South_Dakota"
"Robert M La Follette","Independent","Wisconsin","Burton K Wheeler","0","75 355","36 96",1924,"South_Dakota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_South_Dakota"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","27 214","13 35",1924,"South_Dakota","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_South_Dakota"
"Herbert Hoover","Republican","California","Charles Curtis","5","157 603","60 18",1928,"South_Dakota","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_South_Dakota"
"Al Smith","Democratic","New York","Joseph T Robinson","0","102 660","39 20",1928,"South_Dakota","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_South_Dakota"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","183 515","63 6",1932,"South_Dakota","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_South_Dakota"
"Herbert Hoover","Republican","California","Charles Curtis","0","99 212","34 4",1932,"South_Dakota","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_South_Dakota"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","160 137","54 02",1936,"South_Dakota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_South_Dakota"
"Alf Landon","Republican","Kansas","Frank Knox","0","125 977","42 49",1936,"South_Dakota","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_South_Dakota"
"Wendell Willkie","Republican","Indiana","Charles L McNary","4","177 065","57 4",1940,"South_Dakota","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_South_Dakota"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","131 362","42 6",1940,"South_Dakota","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_South_Dakota"
"Thomas E Dewey","Republican","New York","John W Bricker","4","135 365","58 3",1944,"South_Dakota","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_South_Dakota"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","96 711","41 7",1944,"South_Dakota","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_South_Dakota"
"Thomas Dewey","Republican","New York","Earl Warren","4","129 651","51 8",1948,"South_Dakota","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_South_Dakota"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","117 653","47 0",1948,"South_Dakota","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_South_Dakota"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","203 857","69 27",1952,"South_Dakota","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_South_Dakota"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","90 426","30 73",1952,"South_Dakota","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_South_Dakota"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","171 569","58 4",1956,"South_Dakota","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_South_Dakota"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","122 288","41 6",1956,"South_Dakota","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_South_Dakota"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","4","178 417","58 2",1960,"South_Dakota","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_South_Dakota"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","128 070","41 8",1960,"South_Dakota","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_South_Dakota"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","163 010","55 6",1964,"South_Dakota","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_South_Dakota"
"Barry Goldwater","Republican","Arizona","William E Miller","0","130 108","44 4",1964,"South_Dakota","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_South_Dakota"
