"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","12","141 670","61 32",1920,"Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Virginia"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","87 456","37 85",1920,"Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Virginia"
"John W Davis","Democratic","West Virginia","Charles W Bryan","12","139 797","62 5",1924,"Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Virginia"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","73 359","32 8",1924,"Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Virginia"
"Herbert Hoover","Republican","Iowa","Charles Curtis","12","164 609","53 91",1928,"Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Virginia"
"Al Smith","Democratic","New York","Joseph T Robinson","0","140 146","45 90",1928,"Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Virginia"
"Franklin D Roosevelt","Democratic","New York","John N Garner","11","203 979","68 46",1932,"Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Virginia"
"Herbert Hoover","Republican","Iowa","Charles Curtis","0","89 637","29 39",1932,"Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Virginia"
"Franklin D Roosevelt","Democratic","New York","John N Garner","11","234 980","70 23",1936,"Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Virginia"
"Alf Landon","Republican","Kansas","Frank Knox","0","98 336","29 39",1936,"Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Virginia"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","11","235 961","68 08",1940,"Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Virginia"
"Wendell Willkie","Republican","New York","Charles L McNary","0","109 363","31 55",1940,"Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Virginia"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","11","242 276","62 36",1944,"Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Virginia"
"Thomas E Dewey","Republican","New York","John W Bricker","0","145 243","37 39",1944,"Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Virginia"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","11","200 786","47 89",1948,"Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Virginia"
"Thomas E Dewey","Republican","New York","Earl Warren","0","172 070","41 04",1948,"Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Virginia"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright","0","43 393","10 35",1948,"Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Virginia"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","12","349 037","56 32",1952,"Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Virginia"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","268 677","43 36",1952,"Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Virginia"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","12","386 459","55 37",1956,"Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Virginia"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","267 760","38 36",1956,"Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Virginia"
"T Coleman Andrews","Dixiecrat","Virginia","Thomas H Werdel","0","42 964","6 16",1956,"Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Virginia"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","12","404 521","52 4",1960,"Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Virginia"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","362 327","47 0",1960,"Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Virginia"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","12","558 038","53 5",1964,"Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Virginia"
"Barry Goldwater","Republican","Arizona","William E Miller","0","481 334","46 2",1964,"Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Virginia"
"Richard Nixon","Republican","New York","Spiro Agnew","12","590 319","43 4",1968,"Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Virginia"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","442 387","32 5",1968,"Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Virginia"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","320 272","23 6",1968,"Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Virginia"
"Richard Nixon","Republican","California","Spiro Agnew","11","988 493","67 8",1972,"Virginia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Virginia"
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton","0","438 887","30 1",1972,"Virginia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Virginia"
"Gerald Ford","Republican","Michigan","Bob Dole","12","836 554","49 29",1976,"Virginia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Virginia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","813 896","47 96",1976,"Virginia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Virginia"
"Ronald Reagan","Republican","California","George H W Bush","12","989 609","53 03",1980,"Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Virginia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","752 174","40 31",1980,"Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Virginia"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","95 418","5 11",1980,"Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Virginia"
