"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","8","282 007","55 3",1920,"West_Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_West_Virginia"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","220 789","43 3",1920,"West_Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_West_Virginia"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","8","288 635","49 45",1924,"West_Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_West_Virginia"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","257 232","44 07",1924,"West_Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_West_Virginia"
"Robert M La Follette","Farmer Labor","Wisconsin","Burton K Wheeler","0","36 723","6 29",1924,"West_Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_West_Virginia"
"Herbert Hoover","Republican","California","Charles Curtis","8","375 551","58 43",1928,"West_Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_West_Virginia"
"Al Smith","Democratic","New York","Joseph T Robinson","0","263 784","41 04",1928,"West_Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_West_Virginia"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","8","405 124","54 5",1932,"West_Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_West_Virginia"
"Herbert Hoover","Republican","California","Charles Curtis","0","330 731","44 5",1932,"West_Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_West_Virginia"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","8","502 582","60 6",1936,"West_Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_West_Virginia"
"Alf Landon","Republican","Kansas","Frank Knox","0","325 358","39 2",1936,"West_Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_West_Virginia"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","8","495 662","57 1",1940,"West_Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_West_Virginia"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","372 414","42 9",1940,"West_Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_West_Virginia"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","8","392 777","54 89",1944,"West_Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_West_Virginia"
"Thomas E Dewey","Republican","New York","John W Bricker","0","322 819","45 11",1944,"West_Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_West_Virginia"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","8","429 188","57 3",1948,"West_Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_West_Virginia"
"Thomas Dewey","Republican","New York","Earl Warren","0","316 251","42 2",1948,"West_Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_West_Virginia"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","8","453 578","51 9",1952,"West_Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_West_Virginia"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","0","419 970","48 1",1952,"West_Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_West_Virginia"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","8","449 297","54 1",1956,"West_Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_West_Virginia"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","381 534","45 9",1956,"West_Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_West_Virginia"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","8","441 786","52 7",1960,"West_Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_West_Virginia"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","395 995","47 3",1960,"West_Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_West_Virginia"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","7","538 087","67 9",1964,"West_Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_West_Virginia"
"Barry Goldwater","Republican","Arizona","William E Miller","0","253 953","32 1",1964,"West_Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_West_Virginia"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","7","374 091","49 6",1968,"West_Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_West_Virginia"
"Richard Nixon","Republican","New York","Spiro Agnew","0","307 555","40 8",1968,"West_Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_West_Virginia"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","72 560","9 6",1968,"West_Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_West_Virginia"
"Richard Nixon","Republican","California","Spiro Agnew","6","484 964","63 6",1972,"West_Virginia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_West_Virginia"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","277 435","36 4",1972,"West_Virginia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_West_Virginia"
"Jimmy Carter","Democratic","","Walter Mondale","6","435 914","58 07",1976,"West_Virginia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_West_Virginia"
"Gerald Ford","Republican","","Bob Dole","0","314 760","41 93",1976,"West_Virginia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_West_Virginia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","6","367 462","49 8",1980,"West_Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_West_Virginia"
"Ronald Reagan","Republican","California","George H W Bush","0","334 206","45 3",1980,"West_Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_West_Virginia"
"Ronald Reagan","Republican","California","George H W Bush","6","405 483","55 11",1984,"West_Virginia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_West_Virginia"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","328 125","44 60",1984,"West_Virginia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_West_Virginia"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","5","341 016","52 20",1988,"West_Virginia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_West_Virginia"
"George H W Bush","Republican","Texas","Dan Quayle","0","310 065","47 46",1988,"West_Virginia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_West_Virginia"
"Bill Clinton","Democratic","Arkansas","Al Gore","5","331 001","48 41",1992,"West_Virginia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_West_Virginia"
