"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","13","498 576","71 10",1920,"Wisconsin","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Wisconsin"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","113 422","16 17",1920,"Wisconsin","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Wisconsin"
"Eugene V Debs","Socialist","Indiana","Seymour Stedman","0","80 635","11 5",1920,"Wisconsin","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Wisconsin"
"Robert M La Follette","Independent","Wisconsin","Burton K Wheeler","13","453 678","54 0",1924,"Wisconsin","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Wisconsin"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","311 614","37 1",1924,"Wisconsin","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Wisconsin"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","68 115","8 1",1924,"Wisconsin","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Wisconsin"
"Herbert Hoover","Republican","California","Charles Curtis","13","544 205","53 52",1928,"Wisconsin","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Wisconsin"
"Al Smith","Democratic","New York","Joseph T Robinson","0","450 259","44 28",1928,"Wisconsin","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Wisconsin"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","12","707 410","63 46",1932,"Wisconsin","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Wisconsin"
"Herbert Hoover","Republican","California","Charles Curtis","0","347 741","31 19",1932,"Wisconsin","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Wisconsin"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","12","802 984","63 80",1936,"Wisconsin","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Wisconsin"
"Alf Landon","Republican","Kansas","Frank Knox","0","380 828","30 26",1936,"Wisconsin","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Wisconsin"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","12","704 821","50 15",1940,"Wisconsin","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Wisconsin"
"Wendell Willkie","Republican","New York","Charles L McNary","0","679 206","48 32",1940,"Wisconsin","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Wisconsin"
"Thomas E Dewey","Republican","New York","John W Bricker","12","674 532","50 37",1944,"Wisconsin","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Wisconsin"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","650 413","48 57",1944,"Wisconsin","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Wisconsin"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","12","647 310","50 7",1948,"Wisconsin","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Wisconsin"
"Thomas E Dewey","Republican","New York","Earl Warren","0","590 959","46 3",1948,"Wisconsin","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Wisconsin"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","12","979 744","60 95",1952,"Wisconsin","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Wisconsin"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","622 175","38 71",1952,"Wisconsin","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Wisconsin"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","12","954 844","61 58",1956,"Wisconsin","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Wisconsin"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","586 768","37 84",1956,"Wisconsin","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Wisconsin"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","12","895 175","51 77",1960,"Wisconsin","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Wisconsin"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","830 805","48 05",1960,"Wisconsin","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Wisconsin"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","12","1 050 424","62 1",1964,"Wisconsin","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Wisconsin"
"Barry Goldwater","Republican","Arizona","William E Miller","0","638 495","37 7",1964,"Wisconsin","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Wisconsin"
"Richard Nixon","Republican","New York","Spiro Agnew","12","809 997","47 89",1968,"Wisconsin","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Wisconsin"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","748 804","44 27",1968,"Wisconsin","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Wisconsin"
"George Wallace","Independent","Alabama","S Marvin Griffin","0","127 835","7 56",1968,"Wisconsin","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Wisconsin"
"Richard Nixon","Republican","California","Spiro Agnew","11","989 430","53 4",1972,"Wisconsin","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Wisconsin"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","810 174","43 7",1972,"Wisconsin","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Wisconsin"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","11","1 040 232","49 50",1976,"Wisconsin","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Wisconsin"
"Gerald Ford","Republican","Michigan","Bob Dole","0","1 004 987","47 83",1976,"Wisconsin","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Wisconsin"
"Ronald Reagan","Republican","California","George H W Bush","11","1 088 845","47 90",1980,"Wisconsin","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Wisconsin"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","981 584","43 18",1980,"Wisconsin","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Wisconsin"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","160 657","7 1",1980,"Wisconsin","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Wisconsin"
"Ronald Reagan","Republican","California","George H W Bush","11","1 198 800","54 19",1984,"Wisconsin","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Wisconsin"
