"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","3","169 796","85 50",1964,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_the_District_of_Columbia"
"Barry Goldwater","Republican","Arizona","William E Miller","0","28 801","14 50",1964,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_the_District_of_Columbia"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","3","139 566","81 82",1968,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_the_District_of_Columbia"
"Richard Nixon","Republican","New York","Spiro Agnew","0","31 012","18 18",1968,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_the_District_of_Columbia"
"George McGovern","Democratic","South Dakota","Sargent Shriver","3","127 627","78 10",1972,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_the_District_of_Columbia"
"Richard Nixon","Republican","California","Spiro Agnew","0","35 226","21 56",1972,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_the_District_of_Columbia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","3","137 818","81 63",1976,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_the_District_of_Columbia"
"Gerald Ford","Republican","Michigan","Bob Dole","0","27 873","16 51",1976,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_the_District_of_Columbia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","3","130 231","74 89",1980,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_the_District_of_Columbia"
"Ronald Reagan","Republican","California","George H W Bush","0","23 313","13 41",1980,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_the_District_of_Columbia"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","16 131","9 28",1980,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_the_District_of_Columbia"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferarro","3","180 408","85 38",1984,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_the_District_of_Columbia"
"Ronald Reagan","Republican","California","George H W Bush","0","29 009","13 73",1984,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_the_District_of_Columbia"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","3","159 407","82 65",1988,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_the_District_of_Columbia"
"George H W Bush","Republican","Texas","Dan Quayle","0","27 590","14 30",1988,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_the_District_of_Columbia"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","192 619","84 64",1992,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_the_District_of_Columbia"
"George H W Bush","Republican","Texas","Dan Quayle","0","20 698","9 10",1992,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_the_District_of_Columbia"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","158 220","85 19",1996,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_the_District_of_Columbia"
"Bob Dole","Republican","Kansas","Jack Kemp","0","17 339","9 34",1996,"the_District_of_Columbia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_the_District_of_Columbia"
"Al Gore","Democratic","Tennessee","Joe Lieberman","2","171 923","85 16",2000,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_the_District_of_Columbia"
"George W Bush","Republican","Texas","Dick Cheney","0","18 073","8 95",2000,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_the_District_of_Columbia"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","10 576","5 24",2000,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_the_District_of_Columbia"
"John Kerry","Democratic","Massachusetts","John Edwards","3","202 970","89 18",2004,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_the_District_of_Columbia"
"George W Bush","Republican","Texas","Dick Cheney","0","21 256","9 34",2004,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_the_District_of_Columbia"
"Barack Obama","Democratic","Illinois","Joe Biden","3","245 800","92 46",2008,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_the_District_of_Columbia"
"John McCain","Republican","Arizona","Sarah Palin","0","17 367","6 53",2008,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_the_District_of_Columbia"
"Barack Obama","Democratic","Illinois","Joe Biden","3","267 070","90 91",2012,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_the_District_of_Columbia"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","21 381","7 28",2012,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_the_District_of_Columbia"
"Hillary Clinton","Democratic","New York","Tim Kaine","3","282 830","90 86",2016,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_the_District_of_Columbia"
"Donald Trump","Republican","New York","Mike Pence","0","12 723","4 09",2016,"the_District_of_Columbia","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_the_District_of_Columbia"
