"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",12,159965,67.31,1920,"Alabama","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Alabama",85409,12,"Warren G Harding","James M Cox",1291746
"Warren G Harding","Republican","Ohio","Calvin Coolidge",0,74556,31.37,1920,"Alabama","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Alabama",85409,12,"Warren G Harding","James M Cox",1291746
"John W Davis","Democratic","West Virginia","Charles W Bryan",12,112966,67.8,1924,"Alabama","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Alabama",67961,12,"Calvin Coolidge","John W Davis",775520
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",0,45005,27,1924,"Alabama","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Alabama",67961,12,"Calvin Coolidge","John W Davis",775520
"Al Smith","Democratic","New York","Joseph T Robinson",12,127797,51.33,1928,"Alabama","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Alabama",7044,12,"Herbert Hoover","Al Smith",866640
"Herbert Hoover","Republican","California","Charles Curtis",0,120753,48.5,1928,"Alabama","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Alabama",7044,12,"Herbert Hoover","Al Smith",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",11,207910,84.7,1932,"Alabama","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Alabama",173235,11,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,34675,14.1,1932,"Alabama","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Alabama",173235,11,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",11,238196,86.38,1936,"Alabama","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Alabama",202838,11,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,35358,12.82,1936,"Alabama","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Alabama",202838,11,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",11,250726,85.22,1940,"Alabama","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Alabama",208542,11,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","New York","Charles L McNary",0,42184,14.34,1940,"Alabama","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Alabama",208542,11,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",11,198918,81.28,1944,"Alabama","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Alabama",154378,11,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,44540,18.2,1944,"Alabama","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Alabama",154378,11,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright",11,171443,79.75,1948,"Alabama","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Alabama",130513,11,"Harry S Truman","Strom Thurmond",111495
"Thomas E Dewey","Republican","New York","Earl Warren",0,40930,19.04,1948,"Alabama","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Alabama",130513,11,"Harry S Truman","Strom Thurmond",111495
"Adlai Stevenson","Democratic","Illinois","John Sparkman",11,275075,64.6,1952,"Alabama","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Alabama",125844,11,"Dwight D Eisenhower","Adlai Stevenson",1488890
"Dwight D Eisenhower","Republican","New York","Richard Nixon",0,149231,35,1952,"Alabama","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Alabama",125844,11,"Dwight D Eisenhower","Adlai Stevenson",1488890
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",10,280844,56.52,1956,"Alabama","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Alabama",85150,10,"Dwight D Eisenhower","Adlai Stevenson",2349385
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",0,195694,39.39,1956,"Alabama","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Alabama",85150,10,"Dwight D Eisenhower","Adlai Stevenson",2349385
"Harry F Byrd by unpledged electors","Southern Democrat","Virginia","Strom Thurmond",6,324050,57.43,1960,"Alabama","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alabama",5747,11,"John F Kennedy","Harry F Byrd by unpledged electors",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",5,318303,56.41,1960,"Alabama","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alabama",5747,11,"John F Kennedy","Harry F Byrd by unpledged electors",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,237981,42.18,1960,"Alabama","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alabama",5747,11,"John F Kennedy","Harry F Byrd by unpledged electors",22724.0000000001
"Barry Goldwater","Republican","Arizona","William E Miller",10,479085,69.5,1964,"Alabama","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alabama",268353,10,"Lyndon B Johnson","Barry Goldwater",4118457
"Unpledged electors","Democratic","Alabama","William E Miller",0,210732,30.5,1964,"Alabama","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alabama",268353,10,"Lyndon B Johnson","Barry Goldwater",4118457
"George Wallace","American Independent","Alabama","Curtis LeMay",10,691425,65.9,1968,"Alabama","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alabama",494828,10,"Richard Nixon","George Wallace",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,196597,18.7,1968,"Alabama","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alabama",494828,10,"Richard Nixon","George Wallace",266590
"Richard Nixon","Republican","New York","Spiro Agnew",0,146923,14,1968,"Alabama","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alabama",494828,10,"Richard Nixon","George Wallace",266590
"Richard Nixon","Republican","California","Spiro Agnew",9,728701,72.4,1972,"Alabama","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alabama",471778,9,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton",0,256923,25.5,1972,"Alabama","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alabama",471778,9,"Richard Nixon","Richard Nixon",6349532
"Jimmy Carter","Democratic","Georgia","Walter Mondale",9,659170,55.73,1976,"Alabama","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alabama",155100,9,"Jimmy Carter","Jimmy Carter",45716
"Gerald Ford","Republican","Michigan","Bob Dole",0,504070,42.61,1976,"Alabama","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alabama",155100,9,"Jimmy Carter","Jimmy Carter",45716
"Ronald Reagan","Republican","California","George H W Bush",9,654192,48.75,1980,"Alabama","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alabama",17462,9,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,636730,47.45,1980,"Alabama","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alabama",17462,9,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",9,872849,60.54,1984,"Alabama","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alabama",320950,9,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,551899,38.28,1984,"Alabama","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alabama",320950,9,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",9,815576,59.17,1988,"Alabama","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alabama",266070,9,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,549506,39.86,1988,"Alabama","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alabama",266070,9,"George H W Bush","George H W Bush",1098368
"George H W Bush","Republican","Texas","Dan Quayle",9,804283,47.65,1992,"Alabama","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alabama",114203,9,"Bill Clinton","George H W Bush",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",0,690080,40.88,1992,"Alabama","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alabama",114203,9,"Bill Clinton","George H W Bush",569655
"Ross Perot","Independent","Texas","James Stockdale",0,183109,10.85,1992,"Alabama","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alabama",114203,9,"Bill Clinton","George H W Bush",569655
"Bob Dole","Republican","Kansas","Jack Kemp",9,769044,50.12,1996,"Alabama","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alabama",106879,9,"Bill Clinton","Bob Dole",1151013
"Bill Clinton","Democratic","Arkansas","Al Gore",0,662165,43.16,1996,"Alabama","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alabama",106879,9,"Bill Clinton","Bob Dole",1151013
"Ross Perot","Independent","Texas","Patrick Choate",0,92149,6.01,1996,"Alabama","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alabama",106879,9,"Bill Clinton","Bob Dole",1151013
"George W Bush","Republican","Texas","Dick Cheney",9,941173,56.48,2000,"Alabama","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alabama",248562,9,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,692611,41.57,2000,"Alabama","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alabama",248562,9,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",9,1176394,62.46,2004,"Alabama","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alabama",482461,9,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,693933,36.84,2004,"Alabama","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alabama",482461,9,"George W Bush","George W Bush",115570
"John McCain","Republican","Arizona","Sarah Palin",9,1266546,60.32,2008,"Alabama","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alabama",453067,9,"Barack Obama","John McCain",990320
"Barack Obama","Democratic","Illinois","Joe Biden",0,813479,38.74,2008,"Alabama","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alabama",453067,9,"Barack Obama","John McCain",990320
"Mitt Romney","Republican","Massachusetts","Paul Ryan",9,1255925,60.55,2012,"Alabama","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alabama",460229,9,"Barack Obama","Mitt Romney",429522
"Barack Obama","Democratic","Illinois","Joe Biden",0,795696,38.36,2012,"Alabama","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alabama",460229,9,"Barack Obama","Mitt Romney",429522
"Donald Trump","Republican","New York","Mike Pence",9,1318255,62.08,2016,"Alabama","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alabama",588708,9,"Donald Trump","Donald Trump",77744
"Hillary Clinton","Democratic","New York","Tim Kaine",0,729547,34.36,2016,"Alabama","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alabama",588708,9,"Donald Trump","Donald Trump",77744
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",3,30953,50.94,1960,"Alaska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alaska",1144,3,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,29809,49.06,1960,"Alaska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alaska",1144,3,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",3,44329,65.91,1964,"Alaska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alaska",21399,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,22930,34.09,1964,"Alaska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alaska",21399,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",3,37600,45.28,1968,"Alaska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska",2189,3,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,35411,42.65,1968,"Alaska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska",2189,3,"Richard Nixon","Richard Nixon",266590
"George Wallace","Independent","Alabama","Curtis LeMay",0,10024,12.07,1968,"Alaska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska",2189,3,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",3,55349,58.1,1972,"Alaska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska",22382,3,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,32967,34.61,1972,"Alaska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska",22382,3,"Richard Nixon","Richard Nixon",6349532
