state,Party,Popular.vote,year,state_winner,state_winner_votes,Electoral.vote
Alabama,Democratic,159965,1920,Democratic,159965,12
Alabama,Republican,74556,1920,Democratic,159965,12
Alabama,Democratic,112966,1924,Democratic,112966,12
Alabama,Republican,45005,1924,Democratic,112966,12
Alabama,Democratic,127797,1928,Democratic,127797,12
Alabama,Republican,120753,1928,Democratic,127797,12
Alabama,Democratic,207910,1932,Democratic,207910,11
Alabama,Republican,34675,1932,Democratic,207910,11
Alabama,Democratic,238196,1936,Democratic,238196,11
Alabama,Republican,35358,1936,Democratic,238196,11
Alabama,Democratic,250726,1940,Democratic,250726,11
Alabama,Republican,42184,1940,Democratic,250726,11
Alabama,Democratic,198918,1944,Democratic,198918,11
Alabama,Republican,44540,1944,Democratic,198918,11
Alabama,Dixiecrat,171443,1948,Dixiecrat,171443,11
Alabama,Republican,40930,1948,Dixiecrat,171443,11
Alabama,Democratic,275075,1952,Democratic,275075,11
Alabama,Republican,149231,1952,Democratic,275075,11
Alabama,Democratic,280844,1956,Democratic,280844,10
Alabama,Republican,195694,1956,Democratic,280844,10
Alabama,Southern Democrat,324050,1960,Southern Democrat,324050,6
Alabama,Democratic,318303,1960,Southern Democrat,324050,6
Alabama,Republican,237981,1960,Southern Democrat,324050,6
Alabama,Republican,479085,1964,Republican,479085,10
Alabama,Democratic,210732,1964,Republican,479085,10
Alabama,American Independent,691425,1968,American Independent,691425,10
Alabama,Democratic,196597,1968,American Independent,691425,10
Alabama,Republican,146923,1968,American Independent,691425,10
Alabama,Republican,728701,1972,Republican,728701,9
Alabama,Democratic,256923,1972,Republican,728701,9
Alabama,Democratic,659170,1976,Democratic,659170,9
Alabama,Republican,504070,1976,Democratic,659170,9
Alabama,Republican,654192,1980,Republican,654192,9
Alabama,Democratic,636730,1980,Republican,654192,9
Alabama,Republican,872849,1984,Republican,872849,9
Alabama,Democratic,551899,1984,Republican,872849,9
Alabama,Republican,815576,1988,Republican,815576,9
Alabama,Democratic,549506,1988,Republican,815576,9
Alabama,Republican,804283,1992,Republican,804283,9
Alabama,Democratic,690080,1992,Republican,804283,9
Alabama,Independent,183109,1992,Republican,804283,9
Alabama,Republican,769044,1996,Republican,769044,9
Alabama,Democratic,662165,1996,Republican,769044,9
Alabama,Independent,92149,1996,Republican,769044,9
Alabama,Republican,941173,2000,Republican,941173,9
Alabama,Democratic,692611,2000,Republican,941173,9
Alabama,Republican,1176394,2004,Republican,1176394,9
Alabama,Democratic,693933,2004,Republican,1176394,9
Alabama,Republican,1266546,2008,Republican,1266546,9
Alabama,Democratic,813479,2008,Republican,1266546,9
Alabama,Republican,1255925,2012,Republican,1255925,9
Alabama,Democratic,795696,2012,Republican,1255925,9
Alabama,Republican,1318255,2016,Republican,1318255,9
Alabama,Democratic,729547,2016,Republican,1318255,9
Alaska,Republican,30953,1960,Republican,30953,3
Alaska,Democratic,29809,1960,Republican,30953,3
Alaska,Democratic,44329,1964,Democratic,44329,3
Alaska,Republican,22930,1964,Democratic,44329,3
Alaska,Republican,37600,1968,Republican,37600,3
Alaska,Democratic,35411,1968,Republican,37600,3
Alaska,Independent,10024,1968,Republican,37600,3
Alaska,Republican,55349,1972,Republican,55349,3
Alaska,Democratic,32967,1972,Republican,55349,3
Alaska,American Independent,6903,1972,Republican,55349,3
Alaska,Republican,71555,1976,Republican,71555,3
Alaska,Democratic,44058,1976,Republican,71555,3
Alaska,Libertarian,6785,1976,Republican,71555,3
Alaska,Republican,86112,1980,Republican,86112,3
Alaska,Democratic,41842,1980,Republican,86112,3
Alaska,Republican,138377,1984,Republican,138377,3
Alaska,Democratic,62007,1984,Republican,138377,3
Alaska,Republican,119251,1988,Republican,119251,3
Alaska,Democratic,72584,1988,Republican,119251,3
Alaska,Republican,102000,1992,Republican,102000,3
Alaska,Democratic,78294,1992,Republican,102000,3
Alaska,Independent,73481,1992,Republican,102000,3
Alaska,Republican,122746,1996,Republican,122746,3
Alaska,Democratic,80380,1996,Republican,122746,3
Alaska,Reform,26333,1996,Republican,122746,3
Alaska,Republican,167398,2000,Republican,167398,3
Alaska,Democratic,79004,2000,Republican,167398,3
Alaska,Green,28747,2000,Republican,167398,3
Alaska,Republican,190889,2004,Republican,190889,3
Alaska,Democratic,111025,2004,Republican,190889,3
Alaska,Republican,193841,2008,Republican,193841,3
Alaska,Democratic,123594,2008,Republican,193841,3
Alaska,Republican,164676,2012,Republican,164676,3
Alaska,Democratic,122640,2012,Republican,164676,3
Alaska,Republican,163387,2016,Republican,163387,3
Alaska,Democratic,116454,2016,Republican,163387,3
Alaska,Libertarian,18725,2016,Republican,163387,3
