year,party,pivotal_margin,total_votes,party_votes
2019,con,0,30879137.0,13961021.0
2019,lab,2509198,30879137.0,10295882.0
2019,ld,6885150,30879137.0,3696419.0
2019,snp,6088686,30879137.0,1242380.0
2019,pc,7081356,30879137.0,153265.0
2019,ukip,7140084,30879137.0,22194.0
2019,green,7112372,30879137.0,863719.0
2019,brexit,7140084,30879137.0,644257.0
2017,con,91449,31171122.0,13667088.0
2017,lab,1114697,31171122.0,12877858.0
2017,ld,7160823,31171122.0,2371861.0
2017,snp,6821863,31171122.0,977568.0
2017,pc,7371238,31171122.0,164466.0
2017,ukip,7424194,31171122.0,594068.0
2017,green,7396384,31171122.0,518213.0
2015,con,0,29738083.0,11325171.0
2015,lab,1740308,29738083.0,9347273.0
2015,ld,6277327,29738083.0,2415916.0
2015,snp,5151949,29738083.0,1454436.0
2015,pc,6372980,29738083.0,181704.0
2015,ukip,6392079,29738083.0,3862775.0
2015,green,6388850,29738083.0,1150808.0
2010,con,232155,28027127.0,10726555.0
2010,lab,1111267,28027127.0,8606518.0
2010,ld,4722074,28027127.0,6836188.0
2010,snp,5740044,28027127.0,491376.0
2010,pc,5792653,28027127.0,165394.0
2010,ukip,5828396,28027127.0,919022.0
2010,green,5812158,28027127.0,282074.0
2005,con,1758699,25811734.0,8782197.0
2005,lab,0,25811734.0,9567591.0
2005,ld,4503741,25811734.0,5985454.0
2005,snp,5560454,25811734.0,412267.0
2005,pc,5610572,25811734.0,174838.0
2005,ukip,5642924,25811734.0,605973.0
2005,green,5642924,25811734.0,283414.0
