year,party,pivotal_margin,total_votes,party_votes
1964,Republican,13479026,70515546,27175774
1964,Democratic,0,70515546,43339772
1968,American Independent,11993753,72743984,7229838
1968,Democratic,3005495,72743984,31271857
1968,Republican,0,72743984,31783783
1968,Independent,13564089,72743984,843670
1968,American,13979438,72743984,1255972
1968,Courage,13979438,72743984,358864
1972,Republican,0,76406253,47168710
1972,Democratic,18868211,76406253,29173222
1972,American Independent,20328378,76406253,64321
1976,Democratic,0,79987300,40831881
1976,Republican,1467559,79987300,39148634
1976,Libertarian,18574924,79987300,6785
1980,Republican,0,84473440,43903230
1980,Democratic,15527700,84473440,35480115
1980,Independent,18800593,84473440,3946566
1980,National Unity,18800593,84473440,130633
1980,Nominated By Petition,18800593,84473440,115633
1980,Anderson Coalition,18800593,84473440,174990
1980,Liberal,18800593,84473440,467801
1980,Not Designated,18800593,84473440,254472
1984,Republican,0,92032824,54455472
1984,Democratic,22595089,92032824,37577352
1988,Republican,0,90696073,48886597
1988,Democratic,12244014,90696073,41809476
1992,Republican,7204369,103745196,39101250
1992,Democratic,0,103745196,44909806
1992,Independent,19953484,103745196,18343623
1992,Not Designated,19953484,103745196,1036426
1992,Independent Initiative,19953484,103745196,354091
1996,Republican,8597404,94680671,39198755
1996,Democratic,0,94680671,47400125
1996,Independent,21044337,94680671,976857
1996,Reform,21044337,94680671,6601476
1996,Independence,21044337,94680671,503458
2000,Republican,0,102102982,50459176
2000,Democratic,273559,102102982,51006819
2000,Green,25586729,102102982,636987
2004,Republican,0,121069049,62040610
2004,Democratic,1350789,121069049,59028439
2008,Republican,11730177,129440618,59946089
2008,Democratic,0,129440618,69494529
2012,Republican,6996383,126846152,60930901
2012,Democratic,0,126846152,65915251
2016,Republican,0,129750180,62984825
2016,Democratic,3918014,129750180,65853516
2016,Libertarian,32675215,129750180,603455
2016,Independent,32675215,129750180,308384
