party,year,pivotal_vote
Democratic,1920,1291746
Republican,1920,0
Democratic,1924,775520
Republican,1924,0
Democratic,1928,866640
Republican,1928,0
Democratic,1932,0
Republican,1932,1801018
Democratic,1936,0
Republican,1936,3834458
Democratic,1940,0
Republican,1940,891866
Democratic,1944,0
Republican,1944,581936
Democratic,1948,0
Republican,1948,111495
Democratic,1952,1488890
Republican,1952,0
Democratic,1956,2349385
Republican,1956,0
Democratic,1960,0
Republican,1960,22724
Democratic,1964,0
Republican,1964,4118457
Democratic,1968,266590
Republican,1968,0
Democratic,1972,6349532
Republican,1972,0
Democratic,1976,0
Republican,1976,45716
Democratic,1980,1462353
Republican,1980,0
Democratic,1984,5351583
Republican,1984,0
Democratic,1988,1098368
Republican,1988,0
Democratic,1992,0
Republican,1992,569655
Democratic,1996,0
Republican,1996,1151013
Democratic,2000,537
Republican,2000,0
Democratic,2004,115570
Republican,2004,0
Democratic,2008,0
Republican,2008,990320
Democratic,2012,0
Republican,2012,429522
Democratic,2016,77744
Republican,2016,0
