"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","3","37 016","55 61",1920,"Arizona","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arizona"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","29 546","44 39",1920,"Arizona","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arizona"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","3","30 516","41 26",1924,"Arizona","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","26 235","35 47",1924,"Arizona","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","17 210","23 27",1924,"Arizona","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona"
"Herbert Hoover","Republican","California","Charles Curtis","3","52 533","57 57",1928,"Arizona","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arizona"
"Al Smith","Democratic","New York","Joseph T Robinson","0","38 537","42 23",1928,"Arizona","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arizona"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","79 264","67 03",1932,"Arizona","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arizona"
"Herbert Hoover","Republican","California","Charles Curtis","0","36 104","30 53",1932,"Arizona","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arizona"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","86 722","69 85",1936,"Arizona","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arizona"
"Alf Landon","Republican","Kansas","Frank Knox","0","33 433","26 93",1936,"Arizona","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arizona"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","3","95 267","63 49",1940,"Arizona","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arizona"
"Wendell Willkie","Republican","New York","Charles L McNary","0","54 030","36 01",1940,"Arizona","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arizona"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","4","80 926","58 80",1944,"Arizona","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arizona"
"Thomas E Dewey","Republican","New York","John W Bricker","0","56 287","40 90",1944,"Arizona","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arizona"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","4","95 251","53 79",1948,"Arizona","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arizona"
"Thomas E Dewey","Republican","New York","Earl Warren","0","77 597","43 82",1948,"Arizona","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arizona"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","152 042","58 4",1952,"Arizona","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arizona"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","108 528","41 7",1952,"Arizona","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arizona"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","176 990","60 9",1956,"Arizona","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arizona"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","112 880","38 9",1956,"Arizona","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arizona"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","4","221 241","55 5",1960,"Arizona","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arizona"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","176 781","44 4",1960,"Arizona","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arizona"
"Barry Goldwater","Republican","Arizona","William E Miller","5","242 535","50 45",1964,"Arizona","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arizona"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","0","237 753","49 45",1964,"Arizona","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arizona"
"Richard Nixon","Republican","New York","Spiro Agnew","5","266 721","54 8",1968,"Arizona","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","170 514","35 0",1968,"Arizona","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","46 573","9 6",1968,"Arizona","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona"
"Richard Nixon","Republican","California","Spiro Agnew","6","402 812","61 6",1972,"Arizona","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arizona"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","198 540","30 4",1972,"Arizona","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arizona"
"Gerald Ford","Republican","Michigan","Bob Dole","6","418 642","56 37",1976,"Arizona","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arizona"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","295 602","39 80",1976,"Arizona","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arizona"
"Ronald Reagan","Republican","California","George H W Bush","6","529 688","60 61",1980,"Arizona","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","246 843","28 24",1980,"Arizona","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","76 952","8 81",1980,"Arizona","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona"
"Ronald Reagan","Republican","California","George H W Bush","7","681 416","66 42",1984,"Arizona","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arizona"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","333 854","32 54",1984,"Arizona","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arizona"
"George H W Bush","Republican","Texas","Dan Quayle","7","702 541","59 95",1988,"Arizona","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arizona"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","454 029","38 74",1988,"Arizona","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arizona"
"George H W Bush","Republican","Texas","Dan Quayle","8","572 086","38 47",1992,"Arizona","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","543 050","36 52",1992,"Arizona","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona"
"Ross Perot","Independent","Texas","James Stockdale","0","353 741","23 79",1992,"Arizona","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona"
"Bill Clinton","Democratic","Arkansas","Al Gore","8","653 288","46 52",1996,"Arizona","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona"
"Bob Dole","Republican","Kansas","Jack Kemp","0","622 073","44 29",1996,"Arizona","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona"
"Ross Perot","Reform","Texas","Pat Choate","0","112 072","7 98",1996,"Arizona","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona"
"George W Bush","Republican","Texas","Dick Cheney","8","781 652","50 95",2000,"Arizona","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arizona"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","685 341","44 67",2000,"Arizona","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arizona"
"George W Bush","Republican","Texas","Dick Cheney","10","1 104 294","54 77",2004,"Arizona","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona"
"John Kerry","Democratic","Massachusetts","John Edwards","0","893 524","44 32",2004,"Arizona","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona"
"John McCain","Republican","Arizona","Sarah Palin","10","1 230 111","53 39",2008,"Arizona","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arizona"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 034 707","44 91",2008,"Arizona","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arizona"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","11","1 233 654","53 48",2012,"Arizona","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 025 232","44 45",2012,"Arizona","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona"
"Donald Trump","Republican","New York","Mike Pence","11","1 252 401","48 08",2016,"Arizona","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arizona"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","1 161 167","44 58",2016,"Arizona","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arizona"
