"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","7","229 238","62 72",1920,"Connecticut","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Connecticut"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","120 721","33 03",1920,"Connecticut","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Connecticut"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","7","246 322","61 54",1924,"Connecticut","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Connecticut"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","110 184","27 53",1924,"Connecticut","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Connecticut"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","42 416","10 60",1924,"Connecticut","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Connecticut"
"Herbert Hoover","Republican","California","Charles Curtis","7","296 641","53 63",1928,"Connecticut","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Connecticut"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","252 085","45 57",1928,"Connecticut","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Connecticut"
"Herbert Hoover","Republican","California","Charles Curtis","8","288 420","48 54",1932,"Connecticut","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Connecticut"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","0","281 632","47 40",1932,"Connecticut","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Connecticut"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","8","382 129","55 32",1936,"Connecticut","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Connecticut"
"Alf Landon","Republican","Kansas","Frank Knox","0","278 685","40 35",1936,"Connecticut","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Connecticut"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","8","417 621","53 44",1940,"Connecticut","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Connecticut"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","361 819","46 30",1940,"Connecticut","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Connecticut"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","8","435 146","52 30",1944,"Connecticut","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Connecticut"
"Thomas E Dewey","Republican","New York","John W Bricker","0","390 527","46 94",1944,"Connecticut","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Connecticut"
"Thomas E Dewey","Republican","New York","Earl Warren","8","437 754","49 55",1948,"Connecticut","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Connecticut"
"Harry S Truman","Democratic","Missouri","Alben William Barkley","0","423 297","47 91",1948,"Connecticut","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Connecticut"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","8","611 012","55 70",1952,"Connecticut","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Connecticut"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","481 649","43 91",1952,"Connecticut","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Connecticut"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","8","711 837","63 72",1956,"Connecticut","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Connecticut"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","405 079","36 26",1956,"Connecticut","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Connecticut"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","8","657 055","53 73",1960,"Connecticut","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Connecticut"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","565 813","46 26",1960,"Connecticut","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Connecticut"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","8","826 269","67 81",1964,"Connecticut","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Connecticut"
"Barry Goldwater","Republican","Arizona","William E Miller","0","390 996","32 09",1964,"Connecticut","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Connecticut"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","8","621 561","49 48",1968,"Connecticut","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Connecticut"
"Richard Nixon","Republican","New York","Spiro Agnew","0","556 721","44 32",1968,"Connecticut","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Connecticut"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","76 650","6 10",1968,"Connecticut","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Connecticut"
