"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James Cox","Democratic","Ohio","Franklin D Roosevelt","6","90 515","62 13",1920,"Florida","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Florida"
"Warren Harding","Republican","Ohio","Calvin Coolidge","0","44 853","30 79",1920,"Florida","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Florida"
"John W Davis","Democratic","West Virginia","Charles W Bryan","6","62 083","56 88",1924,"Florida","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Florida"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","30 633","28 06",1924,"Florida","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Florida"
"Herbert Hoover","Republican","California","Charles Curtis","6","144 168","56 83",1928,"Florida","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Florida"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","101 764","40 12",1928,"Florida","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Florida"
"Franklin D Roosevelt","Democratic","New York","John Garner","7","206 307","74 49",1932,"Florida","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Florida"
"Herbert Hoover","Republican","California","Charles Curtis","0","69 170","24 98",1932,"Florida","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Florida"
"Franklin D Roosevelt","Democratic","New York","John Garner","7","249 117","76 08",1936,"Florida","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Florida"
"Alfred Landon","Republican","Kansas","Frank Knox","0","78 248","23 90",1936,"Florida","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Florida"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","7","359 334","73 99",1940,"Florida","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Florida"
"Wendell Willkie","Republican","Indiana","Charles McNary","0","126 158","25 98",1940,"Florida","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Florida"
"Franklin D Roosevelt","Democratic","New York","Harry Truman","8","339 377","70 32",1944,"Florida","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Florida"
"Thomas Dewey","Republican","New York","John Bricker","0","143 215","29 68",1944,"Florida","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Florida"
"Harry Truman","Democratic","Missouri","Alben Barkley","8","281 988","48 82",1948,"Florida","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Florida"
"Thomas Dewey","Republican","New York","Earl Warren","0","194 280","33 63",1948,"Florida","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Florida"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding Wright","0","89 755","15 54",1948,"Florida","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Florida"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","10","544 036","54 99",1952,"Florida","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Florida"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","444 950","44 97",1952,"Florida","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Florida"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","10","643 849","57 27",1956,"Florida","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Florida"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","480 371","42 73",1956,"Florida","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Florida"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","10","795 476","51 51",1960,"Florida","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Florida"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","748 700","48 49",1960,"Florida","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Florida"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","14","948 540","51 15",1964,"Florida","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Florida"
"Barry Goldwater","Republican","Arizona","William E Miller","0","905 941","48 85",1964,"Florida","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Florida"
"Richard Nixon","Republican","New York","Spiro Agnew","14","886 804","40 53",1968,"Florida","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Florida"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","676 794","30 93",1968,"Florida","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Florida"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","624 207","28 53",1968,"Florida","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Florida"
"Richard Nixon","Republican","California","Spiro Agnew","17","1 857 759","71 9",1972,"Florida","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Florida"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","718 117","27 8",1972,"Florida","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Florida"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","17","1 636 000","51 93",1976,"Florida","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Florida"
"Gerald Ford","Republican","Michigan","Bob Dole","0","1 469 531","46 64",1976,"Florida","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Florida"
"Ronald Reagan","Republican","California","George H W Bush","17","2 046 951","55 52",1980,"Florida","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Florida"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","1 419 475","38 50",1980,"Florida","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Florida"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","189 692","5 14",1980,"Florida","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Florida"
"Ronald Reagan","Republican","California","George H W Bush","21","2 730 350","65 32",1984,"Florida","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Florida"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","1 448 816","34 66",1984,"Florida","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Florida"
"George H W Bush","Republican","Texas","Dan Quayle","21","2 618 885","60 87",1988,"Florida","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Florida"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","1 656 701","38 51",1988,"Florida","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Florida"
"George H W Bush","Republican","Texas","Dan Quayle","25","2 173 310","40 89",1992,"Florida","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Florida"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","2 072 698","39 00",1992,"Florida","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Florida"
"Ross Perot","Independent","Texas","James Stockdale","0","1 053 067","19 28",1992,"Florida","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Florida"
"Bill Clinton","Democratic","Arkansas","Al Gore","25","2 546 870","48 02",1996,"Florida","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Florida"
"Bob Dole","Republican","Kansas","Jack Kemp","0","2 244 536","42 32",1996,"Florida","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Florida"
"Ross Perot","Reform","Texas","Patrick Choate","0","483 870","9 12",1996,"Florida","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Florida"
"George W Bush","Republican","Texas","Dick Cheney","25","2 912 790","48 847",2000,"Florida","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Florida"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","2 912 253","48 838",2000,"Florida","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Florida"
"George W Bush","Republican","Texas","Dick Cheney","27","3 964 522","52 10",2004,"Florida","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Florida"
"John Kerry","Democratic","Massachusetts","John Edwards","0","3 583 544","47 09",2004,"Florida","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Florida"
"Barack Obama","Democratic","Illinois","Joe Biden","27","4 282 367","50 91",2008,"Florida","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Florida"
"John McCain","Republican","Arizona","Sarah Palin","0","4 046 219","48 1",2008,"Florida","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Florida"
"Barack Obama","Democratic","Illinois","Joe Biden","29","4 237 756","50 01",2012,"Florida","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Florida"
