"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin Roosevelt","14","107 162","72 06",1920,"Georgia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Georgia"
"Warren Harding","Republican","Ohio","Calvin Coolidge","0","41 089","27 63",1920,"Georgia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Georgia"
"John W Davis","Democratic","West Virginia","Charles W Bryan","14","123 200","73 96",1924,"Georgia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Georgia"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","30 300","18 19",1924,"Georgia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Georgia"
"Robert M La Follette Sr","Progressive","Wisconsin","Burton K Wheeler","0","12 691","7 62",1924,"Georgia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Georgia"
"Al Smith","Democratic","New York","Joseph T Robinson","14","129 602","56 56",1928,"Georgia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Georgia"
"Herbert Hoover","Republican","California","Charles Curtis","0","99 368","43 36",1928,"Georgia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Georgia"
"Franklin Roosevelt","Democratic","New York","John N Garner","12","234 118","91 60",1932,"Georgia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Georgia"
"Herbert Hoover","Republican","California","Charles Curtis","0","19 863","7 77",1932,"Georgia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Georgia"
"Franklin Roosevelt","Democratic","New York","John N Garner","12","255 364","87 10",1936,"Georgia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Georgia"
"Alf Landon","Republican","Kansas","Frank Knox","0","36 942","12 60",1936,"Georgia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Georgia"
"Franklin Roosevelt","Democratic","New York","Henry A Wallace","12","265 194","84 85",1940,"Georgia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Georgia"
"Wendell Willkie","Republican","New York","Charles L McNary","0","46 360","14 83",1940,"Georgia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Georgia"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","12","268 187","81 74",1944,"Georgia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Georgia"
"Thomas E Dewey","Republican","New York","John W Bricker","0","59 880","18 25",1944,"Georgia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Georgia"
"Harry Truman","Democratic","Missouri","Alben Barkley","12","254 646","60 81",1948,"Georgia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Georgia"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright","0","85 055","20 31",1948,"Georgia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Georgia"
"Thomas E Dewey","Republican","New York","Earl Warren","0","76 691","18 31",1948,"Georgia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Georgia"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","12","456 823","69 7",1952,"Georgia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Georgia"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","0","198 979","30 3",1952,"Georgia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Georgia"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","12","441 094","66 5",1956,"Georgia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Georgia"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","0","216 652","32 7",1956,"Georgia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Georgia"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","12","458 638","62 5",1960,"Georgia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Georgia"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","274 472","37 4",1960,"Georgia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Georgia"
"Barry Goldwater","Republican","Arizona","William E Miller","12","616 584","54 12",1964,"Georgia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Georgia"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","0","522 557","45 87",1964,"Georgia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Georgia"
"George Wallace","American Independent","Alabama","Marvin Griffin","12","535 550","42 8",1968,"Georgia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Georgia"
"Richard Nixon","Republican","New York","Spiro Agnew","0","380 111","30 4",1968,"Georgia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Georgia"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","334 440","26 8",1968,"Georgia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Georgia"
"Richard Nixon","Republican","California","Spiro Agnew","12","881 496","75 0",1972,"Georgia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Georgia"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","289 529","24 7",1972,"Georgia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Georgia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","12","979 409","66 74",1976,"Georgia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Georgia"
"Gerald Ford","Republican","Michigan","Bob Dole","0","483 743","32 96",1976,"Georgia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Georgia"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","12","890 733","55 76",1980,"Georgia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Georgia"
"Ronald Reagan","Republican","California","George H W Bush","0","654 168","40 95",1980,"Georgia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Georgia"
"Ronald Reagan","Republican","California","George H W Bush","12","1 068 722","60 17",1984,"Georgia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Georgia"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","706 628","39 79",1984,"Georgia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Georgia"
"George H W Bush","Republican","Texas","Dan Quayle","12","1 081 331","59 75",1988,"Georgia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Georgia"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","714 792","39 50",1988,"Georgia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Georgia"
"Bill Clinton","Democratic","Arkansas","Al Gore","13","1 008 966","43 47",1992,"Georgia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Georgia"
"George H W Bush","Republican","Texas","Dan Quayle","0","995 252","42 88",1992,"Georgia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Georgia"
"Ross Perot","Independent","Texas","James Stockdale","0","309 657","13 34",1992,"Georgia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Georgia"
"Bob Dole","Republican","Kansas","Jack Kemp","13","1 080 843","47 01",1996,"Georgia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Georgia"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","1 053 849","45 84",1996,"Georgia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Georgia"
"Ross Perot","Reform","Texas","Pat Choate","0","146 337","6 37",1996,"Georgia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Georgia"
"George W Bush","Republican","Texas","Dick Cheney","13","1 419 720","54 67",2000,"Georgia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Georgia"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","1 116 230","42 98",2000,"Georgia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Georgia"
"George W Bush","Republican","Texas","Dick Cheney","15","1 914 254","57 97",2004,"Georgia","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Georgia"
"John Kerry","Democratic","Massachusetts","John Edwards","0","1 366 149","41 37",2004,"Georgia","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Georgia"
"John McCain","Republican","Arizona","Sarah Palin","15","2 048 759","52 10",2008,"Georgia","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Georgia"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 844 123","46 90",2008,"Georgia","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Georgia"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","16","2 078 688","53 30",2012,"Georgia","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Georgia"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 773 827","45 48",2012,"Georgia","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Georgia"
"Donald Trump","Republican","New York","Mike Pence","16","2 089 104","50 44",2016,"Georgia","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Georgia"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","1 877 963","45 35",2016,"Georgia","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Georgia"
