"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","3","92 410","50 03",1960,"Hawaii","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Hawaii"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","92 295","49 97",1960,"Hawaii","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Hawaii"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","163 249","78 76",1964,"Hawaii","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Hawaii"
"Barry Goldwater","Republican","Arizona","William E Miller","0","44 022","21 24",1964,"Hawaii","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Hawaii"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","4","141 324","59 83",1968,"Hawaii","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Hawaii"
"Richard Nixon","Republican","New York","Spiro Agnew","0","91 425","38 70",1968,"Hawaii","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Hawaii"
"Richard Nixon","Republican","California","Spiro Agnew","4","168 865","62 48",1972,"Hawaii","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Hawaii"
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton","0","101 409","37 52",1972,"Hawaii","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Hawaii"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","4","147 375","50 59",1976,"Hawaii","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Hawaii"
"Gerald Ford","Republican","Michigan","Bob Dole","0","140 003","48 06",1976,"Hawaii","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Hawaii"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","4","135 879","44 80",1980,"Hawaii","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Hawaii"
"Ronald Reagan","Republican","California","George H W Bush","0","130 112","42 90",1980,"Hawaii","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Hawaii"
