"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","10","369 268","64 75",1920,"Kansas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Kansas"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","185 464","32 52",1920,"Kansas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Kansas"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","10","407 671","61 54",1924,"Kansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Kansas"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","156 319","23 60",1924,"Kansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Kansas"
"Robert M La Follette","Independent","Wisconsin","Burton K Wheeler","0","98 461","14 86",1924,"Kansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Kansas"
"Herbert Hoover","Republican","California","Charles Curtis","10","513 672","72 02",1928,"Kansas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Kansas"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","193 003","27 06",1928,"Kansas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Kansas"
"Franklin D Roosevelt","Democratic","New York","John N Garner","9","424 204","53 56",1932,"Kansas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Kansas"
"Herbert Hoover","Republican","California","Charles Curtis","0","349 498","44 13",1932,"Kansas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Kansas"
"Franklin D Roosevelt","Democratic","New York","John N Garner","9","464 520","53 67",1936,"Kansas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Kansas"
"Alf Landon","Republican","Kansas","Frank Knox","0","397 727","45 95",1936,"Kansas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Kansas"
"Wendell Willkie","Republican","Indiana","Charles L McNary","9","489 169","56 9",1940,"Kansas","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Kansas"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","364 725","42 4",1940,"Kansas","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Kansas"
"Thomas E Dewey","Republican","New York","John W Bricker","8","442 096","60 3",1944,"Kansas","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Kansas"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","287 458","39 2",1944,"Kansas","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Kansas"
"Thomas Dewey","Republican","New York","Earl Warren","8","423 039","53 6",1948,"Kansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Kansas"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","351 902","44 6",1948,"Kansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Kansas"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","8","616 302","68 77",1952,"Kansas","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Kansas"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","273 296","30 50",1952,"Kansas","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Kansas"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","8","566 878","65 4",1956,"Kansas","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Kansas"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","296 317","34 2",1956,"Kansas","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Kansas"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","8","561 474","60 5",1960,"Kansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Kansas"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","363 213","39 1",1960,"Kansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Kansas"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","7","464 028","54 09",1964,"Kansas","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Kansas"
"Barry Goldwater","Republican","Arizona","William E Miller","0","386 579","45 06",1964,"Kansas","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Kansas"
"Richard Nixon","Republican","New York","Spiro Agnew","7","478 674","54 8",1968,"Kansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Kansas"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","302 996","34 7",1968,"Kansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Kansas"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","88 921","10 2",1968,"Kansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Kansas"
"Richard Nixon","Republican","California","Spiro Agnew","7","619 812","67 7",1972,"Kansas","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Kansas"
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton","0","270 287","29 5",1972,"Kansas","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Kansas"
"Gerald Ford","Republican","Michigan","Bob Dole","7","502 752","52 5",1976,"Kansas","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Kansas"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","430 421","44 9",1976,"Kansas","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Kansas"
"Ronald Reagan","Republican","California","George H W Bush","7","566 812","57 85",1980,"Kansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Kansas"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","326 150","33 29",1980,"Kansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Kansas"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","68 231","6 96",1980,"Kansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Kansas"
"Ronald Reagan","Republican","California","George H W Bush","7","677 296","66 27",1984,"Kansas","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Kansas"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","333 149","32 60",1984,"Kansas","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Kansas"
"George H W Bush","Republican","Texas","Dan Quayle","7","554 049","55 79",1988,"Kansas","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Kansas"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","422 636","42 56",1988,"Kansas","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Kansas"
"George H W Bush","Republican","Texas","Dan Quayle","6","446 951","38 88",1992,"Kansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Kansas"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","390 434","33 74",1992,"Kansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Kansas"
"Ross Perot","Independent","Texas","James Stockdale","0","312 358","26 99",1992,"Kansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Kansas"
"Bob Dole","Republican","Kansas","Jack Kemp","6","583 245","54 29",1996,"Kansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Kansas"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","387 659","36 08",1996,"Kansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Kansas"
"Ross Perot","Reform","Texas","James Campbell","0","92 639","8 62",1996,"Kansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Kansas"
"George W Bush","Republican","Texas","Dick Cheney","6","622 332","58 04",2000,"Kansas","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Kansas"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","399 276","37 24",2000,"Kansas","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Kansas"
"George W Bush","Republican","Texas","Dick Cheney","6","736 456","62 00",2004,"Kansas","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Kansas"
"John Kerry","Democratic","Massachusetts","John Edwards","0","434 993","36 62",2004,"Kansas","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Kansas"
"John McCain","Republican","Arizona","Sarah Palin","6","699 655","56 48",2008,"Kansas","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Kansas"
"Barack Obama","Democratic","Illinois","Joe Biden","0","514 765","41 55",2008,"Kansas","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Kansas"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","6","689 809","59 66",2012,"Kansas","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas"
"Barack Obama","Democratic","Illinois","Joe Biden","0","439 908","38 05",2012,"Kansas","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas"
"Donald Trump","Republican","New York","Mike Pence","6","671 018","56 16",2016,"Kansas","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Kansas"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","427 005","35 74",2016,"Kansas","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Kansas"
