"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","6","136 355","68 92",1920,"Maine","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Maine"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","58 961","29 80",1920,"Maine","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Maine"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","6","138 440","72 03",1924,"Maine","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Maine"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","41 964","21 83",1924,"Maine","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Maine"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","11 382","5 92",1924,"Maine","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Maine"
"Herbert Hoover","Republican","California","Charles Curtis","6","179 923","68 63",1928,"Maine","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Maine"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","81 179","30 96",1928,"Maine","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Maine"
"Herbert Hoover","Republican","California","Charles Curtis","5","166 631","55 83",1932,"Maine","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Maine"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","0","128 907","43 19",1932,"Maine","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Maine"
"Alf Landon","Republican","Kansas","Frank Knox","5","168 823","55 49",1936,"Maine","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Maine"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","0","126 333","41 52",1936,"Maine","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Maine"
"Wendell Willkie","Republican","Indiana","Charles L McNary","5","163 951","51 10",1940,"Maine","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Maine"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","156 478","48 77",1940,"Maine","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Maine"
"Thomas E Dewey","Republican","New York","John W Bricker","5","155 434","52 44",1944,"Maine","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Maine"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","140 631","47 45",1944,"Maine","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Maine"
"Thomas E Dewey","Republican","New York","Earl Warren","5","150 234","56 74",1948,"Maine","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Maine"
"Harry S Truman","Democratic","Missouri","Alben William Barkley","0","111 916","42 27",1948,"Maine","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Maine"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","5","232 353","66 05",1952,"Maine","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Maine"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","118 806","33 77",1952,"Maine","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Maine"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","5","249 238","70 87",1956,"Maine","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Maine"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","102 468","29 13",1956,"Maine","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Maine"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","5","240 608","57 05",1960,"Maine","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Maine"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","181 159","42 94",1960,"Maine","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Maine"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","262 264","68 80",1964,"Maine","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Maine"
"Barry Goldwater","Republican","Arizona","William E Miller","0","118 701","31 14",1964,"Maine","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Maine"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","4","217 312","55 30",1968,"Maine","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Maine"
"Richard Nixon","Republican","New York","Spiro Agnew","0","169 254","43 07",1968,"Maine","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Maine"
"Richard Nixon","Republican","California","Spiro Agnew","4","256 458","61 46",1972,"Maine","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Maine"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","160 584","38 48",1972,"Maine","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Maine"
"Gerald Ford","Republican","Michigan","Bob Dole","4","236 320","48 91",1976,"Maine","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Maine"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","232 279","48 07",1976,"Maine","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Maine"
"Ronald Reagan","Republican","California","George H W Bush","4","238 522","45 61",1980,"Maine","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Maine"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","220 974","42 25",1980,"Maine","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Maine"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","53 327","10 20",1980,"Maine","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Maine"
"Ronald Reagan","Republican","California","George H W Bush","4","336 500","60 83",1984,"Maine","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Maine"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","214 515","38 78",1984,"Maine","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Maine"
"George H W Bush","Republican","Texas","Dan Quayle","4","307 131","55 34",1988,"Maine","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Maine"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","243 569","43 88",1988,"Maine","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Maine"
"Bill Clinton","Democratic","Arkansas","Al Gore","4","263 420","38 77",1992,"Maine","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Maine"
"Ross Perot","Independent","Texas","James Stockdale","0","206 820","30 44",1992,"Maine","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Maine"
"George H W Bush","Republican","Texas","Dan Quayle","0","206 504","30 39",1992,"Maine","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Maine"
"Bill Clinton","Democratic","Arkansas","Al Gore","4","312 788","51 62",1996,"Maine","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Maine"
"Bob Dole","Republican","Kansas","Jack Kemp","0","186 378","30 76",1996,"Maine","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Maine"
"Ross Perot","Reform","Texas","James Campbell","0","85 970","14 19",1996,"Maine","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Maine"
"Al Gore","Democratic","Tennessee","Joe Lieberman","4","319 951","49 09",2000,"Maine","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Maine"
"George W Bush","Republican","Texas","Dick Cheney","0","286 616","43 97",2000,"Maine","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Maine"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","37 127","5 70",2000,"Maine","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Maine"
"John Kerry","Democratic","Massachusetts","John Edwards","4","396 842","53 57",2004,"Maine","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Maine"
"George W Bush","Republican","Texas","Dick Cheney","0","330 201","44 58",2004,"Maine","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Maine"
"Barack Obama","Democratic","Illinois","Joe Biden","4","421 923","57 71",2008,"Maine","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Maine"
"John McCain","Republican","Arizona","Sarah Palin","0","295 273","40 38",2008,"Maine","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Maine"
"Barack Obama","Democratic","Illinois","Joe Biden","4","401 306","56 27",2012,"Maine","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Maine"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","292 276","40 98",2012,"Maine","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Maine"
"Hillary Clinton","Democratic","New York","Tim Kaine","3","357 735","47 83",2016,"Maine","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Maine"
"Donald Trump","Republican","New York","Mike Pence","1","335 593","44 87",2016,"Maine","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Maine"
"Gary Johnson","Libertarian","New Mexico","William Weld","0","38 105","5 09",2016,"Maine","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Maine"
