"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","18","681 153","68 55",1920,"Massachusetts","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Massachusetts"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","276 691","27 84",1920,"Massachusetts","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Massachusetts"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","18","703 476","62 26",1924,"Massachusetts","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Massachusetts"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","280 831","24 86",1924,"Massachusetts","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Massachusetts"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","141 225","12 50",1924,"Massachusetts","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Massachusetts"
"Al Smith","Democratic","New York","Joseph T Robinson","18","792 758","50 24",1928,"Massachusetts","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Massachusetts"
"Herbert Hoover","Republican","California","Charles Curtis","0","775 566","49 15",1928,"Massachusetts","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Massachusetts"
"Franklin D Roosevelt","Democratic","New York","John N Garner","17","800 148","50 64",1932,"Massachusetts","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Massachusetts"
"Herbert Hoover","Republican","California","Charles Curtis","0","736 959","46 64",1932,"Massachusetts","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Massachusetts"
"Franklin D Roosevelt","Democratic","New York","John N Garner","17","942 716","51 22",1936,"Massachusetts","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Massachusetts"
"Alf Landon","Republican","Kansas","Frank Knox","0","768 613","41 76",1936,"Massachusetts","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Massachusetts"
"William Lemke","Union","North Dakota","Thomas C O Brien","0","118 639","6 45",1936,"Massachusetts","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Massachusetts"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","17","1 076 522","53 11",1940,"Massachusetts","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Massachusetts"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","939 700","46 36",1940,"Massachusetts","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Massachusetts"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","16","1 035 296","52 80",1944,"Massachusetts","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Massachusetts"
"Thomas E Dewey","Republican","New York","John W Bricker","0","921 350","46 99",1944,"Massachusetts","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Massachusetts"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","16","1 151 788","54 66",1948,"Massachusetts","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Massachusetts"
"Thomas E Dewey","Republican","New York","Earl Warren","0","909 370","43 16",1948,"Massachusetts","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Massachusetts"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","16","1 292 325","54 22",1952,"Massachusetts","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Massachusetts"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","1 083 525","45 46",1952,"Massachusetts","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Massachusetts"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","16","1 393 197","59 32",1956,"Massachusetts","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Massachusetts"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","948 190","40 37",1956,"Massachusetts","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Massachusetts"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","16","1 487 174","60 22",1960,"Massachusetts","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Massachusetts"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","976 750","39 55",1960,"Massachusetts","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Massachusetts"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","14","1 786 422","76 19",1964,"Massachusetts","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Massachusetts"
"Barry Goldwater","Republican","Arizona","William E Miller","0","549 727","23 44",1964,"Massachusetts","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Massachusetts"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","14","1 469 218","63 01",1968,"Massachusetts","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Massachusetts"
"Richard Nixon","Republican","New York","Spiro Agnew","0","766 844","32 89",1968,"Massachusetts","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Massachusetts"
"George McGovern","Democratic","South Dakota","Sargent Shriver","14","1 332 540","54 20",1972,"Massachusetts","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Massachusetts"
"Richard Nixon","Republican","California","Spiro Agnew","0","1 112 078","45 23",1972,"Massachusetts","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Massachusetts"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","14","1 429 475","56 11",1976,"Massachusetts","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Massachusetts"
"Gerald Ford","Republican","Michigan","Bob Dole","0","1 030 276","40 44",1976,"Massachusetts","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Massachusetts"
