"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","10","69 277","83 98",1920,"Mississippi","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Mississippi"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","11 576","14 03",1920,"Mississippi","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Mississippi"
"John W Davis","Democratic","West Virginia","Charles W Bryan","10","100 474","89 34",1924,"Mississippi","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Mississippi"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","8 494","7 55",1924,"Mississippi","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Mississippi"
"Al Smith","Democratic","New York","Joseph T Robinson","10","124 539","82 10",1928,"Mississippi","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Mississippi"
"Herbert Hoover","Republican","California","Charles Curtis","0","27 153","17 90",1928,"Mississippi","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Mississippi"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","9","140 168","96 0",1932,"Mississippi","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Mississippi"
"Herbert Hoover","Republican","California","Charles Curtis","0","5 180","3 6",1932,"Mississippi","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Mississippi"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","9","157 333","97 0",1936,"Mississippi","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Mississippi"
"Alf Landon","Republican","Kansas","Frank Knox","0","4 467","2 8",1936,"Mississippi","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Mississippi"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","9","168 267","95 7",1940,"Mississippi","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Mississippi"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","7 364","4 2",1940,"Mississippi","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Mississippi"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","9","168 479","93 6",1944,"Mississippi","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Mississippi"
"Thomas E Dewey","Republican","New York","John W Bricker","0","11 601","6 4",1944,"Mississippi","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Mississippi"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright","9","167 538","87 17",1948,"Mississippi","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Mississippi"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","19 384","10 09",1948,"Mississippi","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Mississippi"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","8","172 566","60 44",1952,"Mississippi","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Mississippi"
"Dwight D Eisenhower","Independent","New York","Richard Nixon","0","112 966","39 56",1952,"Mississippi","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Mississippi"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","8","144 453","58 22",1956,"Mississippi","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Mississippi"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","0","60 685","24 46",1956,"Mississippi","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Mississippi"
"Unpledged electors","Independent","Running mate","Electoral vote","0","42 966","17 32",1956,"Mississippi","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Mississippi"
"Harry F Byrd by unpledged electors","Southern Democrat","Virginia","Strom Thurmond","8","116 248","38 99",1960,"Mississippi","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Mississippi"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","108 362","36 34",1960,"Mississippi","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Mississippi"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","73 561","24 67",1960,"Mississippi","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Mississippi"
"Barry Goldwater","Republican","","William Miller","7","356 528","87 14",1964,"Mississippi","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Mississippi"
"Lyndon B Johnson","Democratic","","Hubert Humphrey","0","52 618","12 86",1964,"Mississippi","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Mississippi"
"George Wallace","Independent","Alabama","Curtis LeMay","7","415 349","63 46",1968,"Mississippi","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Mississippi"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","150 644","23 02",1968,"Mississippi","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Mississippi"
"Richard Nixon","Republican","New York","Spiro Agnew","0","88 516","13 52",1968,"Mississippi","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Mississippi"
"Richard Nixon","Republican","California","Spiro Agnew","7","505 125","78 2",1972,"Mississippi","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Mississippi"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","126 782","19 6",1972,"Mississippi","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Mississippi"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","7","381 309","49 56",1976,"Mississippi","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Mississippi"
"Gerald Ford","Republican","Michigan","Bob Dole","0","366 846","47 68",1976,"Mississippi","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Mississippi"
"Ronald Reagan","Republican","California","George H W Bush","7","441 089","49 4",1980,"Mississippi","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Mississippi"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","429 281","48 1",1980,"Mississippi","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Mississippi"
"Ronald Reagan","Republican","California","George H W Bush","7","581 477","61 85",1984,"Mississippi","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Mississippi"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","352 192","37 46",1984,"Mississippi","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Mississippi"
"George H W Bush","Republican","Texas","Dan Quayle","7","557 890","59 89",1988,"Mississippi","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Mississippi"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","363 921","39 07",1988,"Mississippi","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Mississippi"
