"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","4","109 430","61 1",1920,"Montana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Montana"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","57 372","32 1",1920,"Montana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Montana"
"Parley P Christensen","Farmer Labor","Illinois","Max S Hayes","0","12 204","6 8",1920,"Montana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Montana"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","4","74 138","42 5",1924,"Montana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Montana"
"Robert M La Follette Sr","La Follette Wheeler Independent","Wisconsin","Burton K Wheeler","0","66 123","37 9",1924,"Montana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Montana"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","33 805","19 4",1924,"Montana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Montana"
"Herbert Hoover","Republican","California","Charles Curtis","4","113 300","58 4",1928,"Montana","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Montana"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","78 578","40 5",1928,"Montana","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Montana"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","127 286","58 8",1932,"Montana","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Montana"
"Herbert Hoover","Republican","Iowa","Charles Curtis","0","78 078","36 1",1932,"Montana","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Montana"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","159 690","69 3",1936,"Montana","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Montana"
"Alf Landon","Republican","Kansas","Frank Knox","0","63 598","27 6",1936,"Montana","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Montana"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","4","145 698","58 8",1940,"Montana","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Montana"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","99 579","40 2",1940,"Montana","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Montana"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","4","112 556","54 3",1944,"Montana","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Montana"
"Thomas E Dewey","Republican","New York","John W Bricker","0","93 163","44 9",1944,"Montana","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Montana"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","4","119 071","53 1",1948,"Montana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Montana"
"Thomas E Dewey","Republican","New York","Earl Warren","0","96 770","43 2",1948,"Montana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Montana"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","157 394","59 4",1952,"Montana","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Montana"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","106 213","40 1",1952,"Montana","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Montana"
