"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","8","247 498","64 66",1920,"Nebraska","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nebraska"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","119 608","31 25",1920,"Nebraska","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nebraska"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","8","218 585","47 09",1924,"Nebraska","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nebraska"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","137 289","29 58",1924,"Nebraska","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nebraska"
"Robert M La Follette","La Follette Independent","Wisconsin","Burton K Wheeler","0","106 701","22 99",1924,"Nebraska","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nebraska"
"Herbert Hoover","Republican","California","Charles Curtis","8","345 745","63 19",1928,"Nebraska","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nebraska"
"Al Smith","Democratic","New York","Joseph T Robinson","0","197 959","36 18",1928,"Nebraska","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nebraska"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","7","359 082","63 0",1932,"Nebraska","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nebraska"
"Herbert Hoover","Republican","California","Charles Curtis","0","201 177","35 3",1932,"Nebraska","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nebraska"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","7","347 445","57 1",1936,"Nebraska","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nebraska"
"Alf Landon","Republican","Kansas","Frank Knox","0","247 731","40 7",1936,"Nebraska","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nebraska"
"Wendell Willkie","Republican","Indiana","Charles L McNary","7","352 201","57 2",1940,"Nebraska","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nebraska"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","263 677","42 8",1940,"Nebraska","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nebraska"
"Thomas E Dewey","Republican","New York","John W Bricker","6","329 880","58 6",1944,"Nebraska","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nebraska"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","233 246","41 4",1944,"Nebraska","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nebraska"
"Thomas Dewey","Republican","New York","Earl Warren","6","264 774","54 2",1948,"Nebraska","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nebraska"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","224 165","45 9",1948,"Nebraska","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nebraska"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","6","421 603","69 15",1952,"Nebraska","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nebraska"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","188 057","30 85",1952,"Nebraska","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nebraska"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","6","378 108","65 5",1956,"Nebraska","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nebraska"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","199 029","34 5",1956,"Nebraska","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nebraska"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","6","380 553","62 1",1960,"Nebraska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nebraska"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","232 542","37 9",1960,"Nebraska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nebraska"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","5","307 307","52 61",1964,"Nebraska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nebraska"
"Barry Goldwater","Republican","Arizona","William E Miller","0","276 847","47 39",1964,"Nebraska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nebraska"
"Richard Nixon","Republican","New York","Spiro Agnew","5","321 163","59 8",1968,"Nebraska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nebraska"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","170 784","31 8",1968,"Nebraska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nebraska"
"George Wallace","American","Alabama","S Marvin Griffin","0","44 904","8 4",1968,"Nebraska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nebraska"
"Richard Nixon","Republican","California","Spiro Agnew","5","406 298","70 5",1972,"Nebraska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nebraska"
