"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","4","95 196","59 84",1920,"New_Hampshire","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Hampshire"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","62 662","39 39",1920,"New_Hampshire","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Hampshire"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","4","98 575","59 83",1924,"New_Hampshire","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Hampshire"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","57 201","34 72",1924,"New_Hampshire","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Hampshire"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","8 993","5 46",1924,"New_Hampshire","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Hampshire"
"Herbert Hoover","Republican","California","Charles Curtis","4","115 404","58 65",1928,"New_Hampshire","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Hampshire"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","80 715","41 02",1928,"New_Hampshire","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Hampshire"
"Herbert Hoover","Republican","California","Charles Curtis","4","103 629","50 42",1932,"New_Hampshire","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Hampshire"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","0","100 680","48 99",1932,"New_Hampshire","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Hampshire"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","4","108 460","49 73",1936,"New_Hampshire","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Hampshire"
"Alf Landon","Republican","Kansas","Frank Knox","0","104 642","47 98",1936,"New_Hampshire","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Hampshire"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","4","125 292","53 22",1940,"New_Hampshire","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Hampshire"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","110 127","46 78",1940,"New_Hampshire","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Hampshire"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","4","119 663","52 11",1944,"New_Hampshire","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Hampshire"
"Thomas E Dewey","Republican","New York","John W Bricker","0","109 916","47 87",1944,"New_Hampshire","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Hampshire"
"Thomas E Dewey","Republican","New York","Earl Warren","4","121 299","52 41",1948,"New_Hampshire","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Hampshire"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","107 995","46 66",1948,"New_Hampshire","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Hampshire"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","166 287","60 92",1952,"New_Hampshire","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Hampshire"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","106 663","39 08",1952,"New_Hampshire","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Hampshire"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","176 519","66 11",1956,"New_Hampshire","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Hampshire"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","90 364","33 84",1956,"New_Hampshire","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Hampshire"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","4","157 989","53 42",1960,"New_Hampshire","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Hampshire"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","137 772","46 58",1960,"New_Hampshire","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Hampshire"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","4","184 064","63 89",1964,"New_Hampshire","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Hampshire"
"Barry Goldwater","Republican","Arizona","William E Miller","0","104 029","36 11",1964,"New_Hampshire","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Hampshire"
"Richard Nixon","Republican","New York","Spiro Agnew","4","154 903","52 10",1968,"New_Hampshire","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Hampshire"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","130 589","43 93",1968,"New_Hampshire","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Hampshire"
"Richard Nixon","Republican","California","Spiro Agnew","4","213 724","63 98",1972,"New_Hampshire","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Hampshire"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","116 435","34 85",1972,"New_Hampshire","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Hampshire"
"Gerald Ford","Republican","Michigan","Bob Dole","4","185 935","54 75",1976,"New_Hampshire","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Hampshire"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","147 635","43 47",1976,"New_Hampshire","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Hampshire"
"Ronald Reagan","Republican","California","George H W Bush","4","221 705","57 74",1980,"New_Hampshire","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Hampshire"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","108 864","28 35",1980,"New_Hampshire","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Hampshire"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","49 693","12 94",1980,"New_Hampshire","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Hampshire"
"Ronald Reagan","Republican","California","George H W Bush","4","267 051","68 66",1984,"New_Hampshire","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Hampshire"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","120 395","30 95",1984,"New_Hampshire","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Hampshire"
"George H W Bush","Republican","Texas","Dan Quayle","4","281 537","62 49",1988,"New_Hampshire","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Hampshire"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","163 696","36 33",1988,"New_Hampshire","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Hampshire"
"Bill Clinton","Democratic","Arkansas","Al Gore","4","209 040","38 91",1992,"New_Hampshire","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Hampshire"
"George H W Bush","Republican","Texas","Dan Quayle","0","202 484","37 69",1992,"New_Hampshire","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Hampshire"
"Ross Perot","Independent","Texas","James Stockdale","0","121 337","22 59",1992,"New_Hampshire","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Hampshire"
"Bill Clinton","Democratic","Arkansas","Al Gore","4","246 214","49 32",1996,"New_Hampshire","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Hampshire"
"Bob Dole","Republican","Kansas","Jack Kemp","0","196 532","39 37",1996,"New_Hampshire","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Hampshire"
"Ross Perot","Reform","Texas","Pat Choate","0","48 390","9 69",1996,"New_Hampshire","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Hampshire"
"George W Bush","Republican","Texas","Dick Cheney","4","273 559","48 07",2000,"New_Hampshire","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_Hampshire"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","266 348","46 80",2000,"New_Hampshire","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_Hampshire"
"John Kerry","Democratic","Massachusetts","John Edwards","4","340 511","50 24",2004,"New_Hampshire","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_Hampshire"
"George W Bush","Republican","Texas","Dick Cheney","0","331 237","48 87",2004,"New_Hampshire","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_Hampshire"
"Barack Obama","Democratic","Illinois","Joe Biden","4","384 826","54 38",2008,"New_Hampshire","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Hampshire"
"John McCain","Republican","Arizona","Sarah Palin","0","316 534","44 73",2008,"New_Hampshire","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Hampshire"
"Barack Obama","Democratic","Illinois","Joe Biden","4","369 561","51 98",2012,"New_Hampshire","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_Hampshire"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","329 918","46 40",2012,"New_Hampshire","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_Hampshire"
"Hillary Clinton","Democratic","New York","Tim Kaine","4","348 526","47 62",2016,"New_Hampshire","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Hampshire"
"Donald Trump","Republican","New York","Mike Pence","0","345 790","47 25",2016,"New_Hampshire","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Hampshire"
