"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","14","611 541","67 65",1920,"New_Jersey","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Jersey"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","256 887","28 42",1920,"New_Jersey","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Jersey"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","14","675 162","62 17",1924,"New_Jersey","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Jersey"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","297 743","27 41",1924,"New_Jersey","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Jersey"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","108 901","10 03",1924,"New_Jersey","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Jersey"
"Herbert Hoover","Republican","California","Charles Curtis","14","926 050","59 77",1928,"New_Jersey","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Jersey"
"Al Smith","Democratic","New York","Joseph T Robinson","0","616 517","39 79",1928,"New_Jersey","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Jersey"
"Franklin D Roosevelt","Democratic","New York","John N Garner","16","806 630","49 48",1932,"New_Jersey","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Jersey"
"Herbert Hoover","Republican","California","Charles Curtis","0","775 684","47 59",1932,"New_Jersey","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Jersey"
"Franklin D Roosevelt","Democratic","New York","John N Garner","16","1 083 850","59 54",1936,"New_Jersey","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Jersey"
"Alf Landon","Republican","Kansas","Frank Knox","0","720 322","39 57",1936,"New_Jersey","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Jersey"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","16","1 016 808","51 55",1940,"New_Jersey","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Jersey"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","945 475","47 93",1940,"New_Jersey","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Jersey"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","16","987 874","50 31",1944,"New_Jersey","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Jersey"
"Thomas E Dewey","Republican","New York","John W Bricker","0","961 335","48 95",1944,"New_Jersey","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Jersey"
"Thomas E Dewey","Republican","New York","Earl Warren","16","981 124","50 33",1948,"New_Jersey","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Jersey"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","895 455","45 93",1948,"New_Jersey","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Jersey"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","16","1 374 613","56 81",1952,"New_Jersey","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Jersey"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","1 015 902","41 99",1952,"New_Jersey","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Jersey"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","16","1 606 942","64 68",1956,"New_Jersey","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Jersey"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","850 337","34 23",1956,"New_Jersey","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Jersey"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","16","1 385 415","49 96",1960,"New_Jersey","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Jersey"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","1 363 324","49 16",1960,"New_Jersey","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Jersey"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","17","1 867 671","65 61",1964,"New_Jersey","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Jersey"
"Barry Goldwater","Republican","Arizona","William E Miller","0","963 843","33 86",1964,"New_Jersey","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Jersey"
"Richard Nixon","Republican","New York","Spiro Agnew","17","1 325 467","46 10",1968,"New_Jersey","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Jersey"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","1 264 206","43 97",1968,"New_Jersey","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Jersey"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","262 187","9 12",1968,"New_Jersey","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Jersey"
"Richard Nixon","Republican","California","Spiro Agnew","17","1 845 502","61 57",1972,"New_Jersey","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Jersey"
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton","0","1 102 211","36 77",1972,"New_Jersey","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Jersey"
