"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","4","81 555","55 93",1920,"Utah","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Utah"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","56 639","38 84",1920,"Utah","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Utah"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","4","77 327","49 26",1924,"Utah","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Utah"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","47 001","29 94",1924,"Utah","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Utah"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","32 662","20 81",1924,"Utah","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Utah"
"Herbert Hoover","Republican","California","Charles Curtis","4","94 618","53 58",1928,"Utah","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Utah"
"Al Smith","Democratic","New York","Joseph T Robinson","0","80 985","45 86",1928,"Utah","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Utah"
"Franklin D Roosevelt","Democratic","New York","John N Garner","4","116 750","56 52",1932,"Utah","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Utah"
"Herbert Hoover","Republican","California","Charles Curtis","0","84 795","41 05",1932,"Utah","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Utah"
"Franklin D Roosevelt","Democratic","New York","John N Garner","4","150 246","69 34",1936,"Utah","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Utah"
"Alf Landon","Republican","Kansas","Frank Knox","0","64 555","29 79",1936,"Utah","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Utah"
"Franklin D Roosevelt","Democratic","New York","John N Garner","4","154 277","62 25",1940,"Utah","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Utah"
"Wendell Willkie","Republican","New York","Charles L McNary","0","93 151","37 59",1940,"Utah","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Utah"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","4","150 088","60 44",1944,"Utah","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Utah"
"Thomas E Dewey","Republican","New York","John W Bricker","0","97 891","39 42",1944,"Utah","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Utah"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","4","149 151","53 98",1948,"Utah","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Utah"
"Thomas E Dewey","Republican","New York","Earl Warren","0","124 402","45 02",1948,"Utah","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Utah"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","4","194 190","58 93",1952,"Utah","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Utah"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","135 364","41 07",1952,"Utah","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Utah"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","4","215 631","64 6",1956,"Utah","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Utah"
