"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","4","68 212","75 82",1920,"Vermont","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Vermont"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","20 919","23 25",1920,"Vermont","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Vermont"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","4","80 498","78 22",1924,"Vermont","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Vermont"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","16 124","15 67",1924,"Vermont","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Vermont"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","5 964","5 79",1924,"Vermont","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Vermont"
"Herbert Hoover","Republican","California","Charles Curtis","4","90 404","66 87",1928,"Vermont","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Vermont"
"Al Smith","Democratic","New York","Joseph T Robinson","0","44 440","32 87",1928,"Vermont","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Vermont"
"Herbert Hoover","Republican","California","Charles Curtis","3","78 984","57 66",1932,"Vermont","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Vermont"
"Franklin D Roosevelt","Democratic","New York","John N Garner","0","56 266","41 08",1932,"Vermont","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Vermont"
"Alf Landon","Republican","Kansas","Frank Knox","3","81 023","56 39",1936,"Vermont","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Vermont"
"Franklin D Roosevelt","Democratic","New York","John N Garner","0","62 124","43 24",1936,"Vermont","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Vermont"
"Wendell Willkie","Republican","Indiana","Charles L McNary","3","78 371","54 78",1940,"Vermont","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Vermont"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","64 269","44 92",1940,"Vermont","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Vermont"
"Thomas E Dewey","Republican","New York","John W Bricker","3","71 527","57 06",1944,"Vermont","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Vermont"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","53 820","42 93",1944,"Vermont","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Vermont"
"Thomas E Dewey","Republican","New York","Earl Warren","3","75 926","61 54",1948,"Vermont","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Vermont"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","45 557","36 92",1948,"Vermont","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Vermont"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","3","109 717","71 45",1952,"Vermont","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Vermont"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","43 355","28 23",1952,"Vermont","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Vermont"
"Dwight D Eisenhower","Republican","Pennsylvania note 1","Richard Nixon","3","110 390","72 16",1956,"Vermont","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Vermont"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","42 549","27 81",1956,"Vermont","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Vermont"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","3","98 131","58 65",1960,"Vermont","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Vermont"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","69 186","41 35",1960,"Vermont","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Vermont"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","3","108 127","66 30",1964,"Vermont","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Vermont"
"Barry Goldwater","Republican","Arizona","William E Miller","0","54 942","33 69",1964,"Vermont","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Vermont"
"Richard Nixon","Republican","New York","Spiro Agnew","3","85 142","52 75",1968,"Vermont","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Vermont"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","70 255","43 53",1968,"Vermont","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Vermont"
"Richard Nixon","Republican","California","Spiro Agnew","3","117 149","62 66",1972,"Vermont","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Vermont"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","68 174","36 47",1972,"Vermont","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Vermont"
"Gerald Ford","Republican","Michigan","Bob Dole","3","102 085","54 34",1976,"Vermont","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Vermont"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","81 044","43 14",1976,"Vermont","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Vermont"
"Ronald Reagan","Republican","California","George H W Bush","3","94 598","44 37",1980,"Vermont","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Vermont"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","81 891","38 41",1980,"Vermont","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Vermont"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","31 760","14 90",1980,"Vermont","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Vermont"
"Ronald Reagan","Republican","California","George H W Bush","3","135 865","57 92",1984,"Vermont","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Vermont"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","95 730","40 81",1984,"Vermont","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Vermont"
"George H W Bush","Republican","Texas","Dan Quayle","3","124 331","51 10",1988,"Vermont","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Vermont"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","115 775","47 58",1988,"Vermont","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Vermont"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","133 592","46 11",1992,"Vermont","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Vermont"
"George H W Bush","Republican","Texas","Dan Quayle","0","88 122","30 42",1992,"Vermont","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Vermont"
"Ross Perot","Independent","Texas","James Stockdale","0","65 991","22 78",1992,"Vermont","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Vermont"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","137 894","53 35",1996,"Vermont","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Vermont"
"Bob Dole","Republican","Kansas","Jack Kemp","0","80 352","31 09",1996,"Vermont","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Vermont"
"Ross Perot","Reform","Texas","Patrick Choate","0","31 024","12 00",1996,"Vermont","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Vermont"
"Al Gore","Democratic","Tennessee","Joe Lieberman","3","149 022","50 63",2000,"Vermont","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Vermont"
"George W Bush","Republican","Texas","Dick Cheney","0","119 775","40 70",2000,"Vermont","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Vermont"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","20 374","6 92",2000,"Vermont","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Vermont"
"John Kerry","Democratic","Massachusetts","John Edwards","3","184 067","58 94",2004,"Vermont","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Vermont"
"George W Bush","Republican","Texas","Dick Cheney","0","121 180","38 80",2004,"Vermont","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Vermont"
"Barack Obama","Democratic","Illinois","Joe Biden","3","219 262","67 46",2008,"Vermont","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Vermont"
"John McCain","Republican","Arizona","Sarah Palin","0","98 974","30 45",2008,"Vermont","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Vermont"
