Nominee,Party,Home state,Running mate,Electoral vote,Popular vote,Percentage,year,state,url
Warren G Harding,Republican,Ohio,Calvin Coolidge,7,223 137,55 96,1920,Washington_(state),https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Washington_(state)
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,84 298,21 14,1920,Washington_(state),https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Washington_(state)
Parley P Christensen,Farmer Labor,Illinois,Max S Hayes,0,77 246,19 37,1920,Washington_(state),https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Washington_(state)
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,7,220 224,52 24,1924,Washington_(state),https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Washington_(state)
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,150 727,35 76,1924,Washington_(state),https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Washington_(state)
John W Davis,Democratic,West Virginia,Charles W Bryan,0,42 842,10 16,1924,Washington_(state),https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Washington_(state)
Herbert Hoover,Republican,California,Charles Curtis,7,335 844,67 06,1928,Washington_(state),https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Washington_(state)
Al Smith,Democratic,New York,Joseph T Robinson,0,156 772,31 30,1928,Washington_(state),https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Washington_(state)
Franklin D Roosevelt,Democratic,New York,John Nance Garner,8,353 260,57 46,1932,Washington_(state),https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Washington_(state)
Herbert Hoover,Republican,California,Charles Curtis,0,208 645,33 94,1932,Washington_(state),https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Washington_(state)
Franklin D Roosevelt,Democratic,New York,John Nance Garner,8,459 579,66 4,1936,Washington_(state),https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Washington_(state)
Alf Landon,Republican,Kansas,Frank Knox,0,206 892,29 9,1936,Washington_(state),https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Washington_(state)
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,8,462 145,58 2,1940,Washington_(state),https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Washington_(state)
Wendell Willkie,Republican,Indiana,Charles L McNary,0,322 123,40 6,1940,Washington_(state),https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Washington_(state)
Franklin D Roosevelt,Democratic,New York,Harry S Truman,8,486 774,56 8,1944,Washington_(state),https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Washington_(state)
Thomas E Dewey,Republican,New York,John W Bricker,0,361 689,42 2,1944,Washington_(state),https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Washington_(state)
Harry S Truman,Democratic,Missouri,Alben W Barkley,8,476 165,52 6,1948,Washington_(state),https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Washington_(state)
Thomas Dewey,Republican,New York,Earl Warren,0,386 315,42 7,1948,Washington_(state),https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Washington_(state)
Dwight D Eisenhower,Republican,New York,Richard Nixon,9,599 107,54 3,1952,Washington_(state),https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Washington_(state)
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,492 845,44 7,1952,Washington_(state),https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Washington_(state)
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,9,620 430,53 9,1956,Washington_(state),https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Washington_(state)
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,523 002,45 44,1956,Washington_(state),https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Washington_(state)
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,9,629 273,50 7,1960,Washington_(state),https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Washington_(state)
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,0,599 298,48 3,1960,Washington_(state),https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Washington_(state)
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,9,779 881,61 9,1964,Washington_(state),https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Washington_(state)
Barry Goldwater,Republican,Arizona,William E Miller,0,470 366,37 4,1964,Washington_(state),https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Washington_(state)
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,9,616 037,47 23,1968,Washington_(state),https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Washington_(state)
Richard Nixon,Republican,New York,Spiro Agnew,0,588 510,45 12,1968,Washington_(state),https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Washington_(state)
George Wallace,American,Alabama,Marvin Griffin,0,96 990,7 44,1968,Washington_(state),https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Washington_(state)
Richard Nixon,Republican,California,Spiro Agnew,9,837 135,56 9,1972,Washington_(state),https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Washington_(state)
George McGovern,Democratic,South Dakota,Sargent Shriver,0,568 334,38 6,1972,Washington_(state),https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Washington_(state)
Gerald Ford,Republican,Michigan,Bob Dole,8 Ford,777 732,50 00,1976,Washington_(state),https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Washington_(state)
Jimmy Carter,Democratic,Georgia,Walter Mondale,9 Dole,717 323,46 11,1976,Washington_(state),https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Washington_(state)
Ronald Reagan,Republican,California,George H W Bush,9,865 244,49 66,1980,Washington_(state),https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Washington_(state)
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,650 193,37 32,1980,Washington_(state),https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Washington_(state)
John B Anderson,Independent,Illinois,Patrick Lucey,0,185 073,10 62,1980,Washington_(state),https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Washington_(state)
Ronald Reagan,Republican,California,George H W Bush,10,1 051 670,55 82,1984,Washington_(state),https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Washington_(state)
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,807 352,42 86,1984,Washington_(state),https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Washington_(state)
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,10,933 516,50 05,1988,Washington_(state),https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Washington_(state)
George H W Bush,Republican,Texas,Dan Quayle,0,903 835,48 46,1988,Washington_(state),https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Washington_(state)
Bill Clinton,Democratic,Arkansas,Al Gore,11,993 037,43 41,1992,Washington_(state),https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Washington_(state)
George H W Bush,Republican,Texas,Dan Quayle,0,731 234,31 97,1992,Washington_(state),https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Washington_(state)
Ross Perot,Independent,Texas,James Stockdale,0,541 780,23 68,1992,Washington_(state),https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Washington_(state)
Bill Clinton,Democratic,Arkansas,Al Gore,11,1 123 323,49 84,1996,Washington_(state),https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Washington_(state)
Bob Dole,Republican,Kansas,Jack Kemp,0,840 712,37 30,1996,Washington_(state),https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Washington_(state)
Ross Perot,Reform,Texas,Patrick Choate,0,201 003,8 92,1996,Washington_(state),https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Washington_(state)
Al Gore,Democratic,Tennessee,Joe Lieberman,11,1 247 652,50 16,2000,Washington_(state),https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Washington_(state)
George W Bush,Republican,Texas,Dick Cheney,0,1 108 864,44 58,2000,Washington_(state),https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Washington_(state)
John Kerry,Democratic,Massachusetts,John Edwards,11,1 510 201,52 82,2004,Washington_(state),https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Washington_(state)
George W Bush,Republican,Texas,Dick Cheney,0,1 304 894,45 64,2004,Washington_(state),https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Washington_(state)
Barack Obama,Democratic,Illinois,Joe Biden,11,1 750 848,57 34,2008,Washington_(state),https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Washington_(state)
John McCain,Republican,Arizona,Sarah Palin,0,1 229 216,40 26,2008,Washington_(state),https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Washington_(state)
Barack Obama,Democratic,Illinois,Joe Biden,12,1 755 396,56 16,2012,Washington_(state),https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Washington_(state)
Mitt Romney,Republican,Massachusetts,Paul Ryan,0,1 290 670,41 29,2012,Washington_(state),https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Washington_(state)
Hillary Clinton,Democratic,New York,Tim Kaine,8,1 742 718,54 30,2016,Washington_(state),https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Washington_(state)
Donald Trump,Republican,New York,Mike Pence,0,1 221 747,38 07,2016,Washington_(state),https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Washington_(state)
Gary Johnson,Libertarian,New Mexico,Bill Weld,0,160 879,5 01,2016,Washington_(state),https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Washington_(state)
