"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","3","35 091","64 15",1920,"Wyoming","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Wyoming"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","17 429","31 86",1920,"Wyoming","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Wyoming"
"Calvin Coolidge","Republican","New York","Charles G Dawes","3","41 858","52 39",1924,"Wyoming","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Wyoming"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","25 174","31 51",1924,"Wyoming","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Wyoming"
"John W Davis","Democratic","New Jersey","Charles W Bryan","0","12 868","16 11",1924,"Wyoming","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Wyoming"
"Herbert Hoover","Republican","Iowa","Charles Curtis","3","52 748","63 68",1928,"Wyoming","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Wyoming"
"Al Smith","Democratic","New York","Joseph Robinson","0","29 299","35 37",1928,"Wyoming","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Wyoming"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","54 370","56 07",1932,"Wyoming","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Wyoming"
"Herbert Hoover","Republican","California","Charles Curtis","0","39 583","40 82",1932,"Wyoming","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Wyoming"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","62 624","60 58",1936,"Wyoming","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Wyoming"
"Alfred Landon","Republican","Kansas","Frank Knox","0","38 739","37 47",1936,"Wyoming","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Wyoming"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","3","59 287","52 82",1940,"Wyoming","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Wyoming"
