"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","12","159 965","67 31",1920,"Alabama","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Alabama"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","74 556","31 37",1920,"Alabama","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Alabama"
"John W Davis","Democratic","West Virginia","Charles W Bryan","12","112 966","67 8",1924,"Alabama","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Alabama"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","45 005","27 0",1924,"Alabama","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Alabama"
"Al Smith","Democratic","New York","Joseph T Robinson","12","127 797","51 33",1928,"Alabama","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Alabama"
"Herbert Hoover","Republican","California","Charles Curtis","0","120 753","48 50",1928,"Alabama","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Alabama"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","207 910","84 7",1932,"Alabama","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Alabama"
"Herbert Hoover","Republican","California","Charles Curtis","0","34 675","14 1",1932,"Alabama","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Alabama"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","238 196","86 38",1936,"Alabama","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Alabama"
"Alf Landon","Republican","Kansas","Frank Knox","0","35 358","12 82",1936,"Alabama","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Alabama"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","11","250 726","85 22",1940,"Alabama","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Alabama"
"Wendell Willkie","Republican","New York","Charles L McNary","0","42 184","14 34",1940,"Alabama","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Alabama"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","11","198 918","81 28",1944,"Alabama","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Alabama"
