"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","3","30 953","50 94",1960,"Alaska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alaska"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","29 809","49 06",1960,"Alaska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alaska"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","3","44 329","65 91",1964,"Alaska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alaska"
"Barry Goldwater","Republican","Arizona","William E Miller","0","22 930","34 09",1964,"Alaska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alaska"
"Richard Nixon","Republican","New York","Spiro Agnew","3","37 600","45 28",1968,"Alaska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","35 411","42 65",1968,"Alaska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska"
"George Wallace","Independent","Alabama","Curtis LeMay","0","10 024","12 07",1968,"Alaska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska"
"Richard Nixon","Republican","California","Spiro Agnew","3","55 349","58 10",1972,"Alaska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","32 967","34 61",1972,"Alaska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska"
"John G Schmitz","American Independent","California","Thomas J Anderson","0","6 903","7 25",1972,"Alaska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska"
"Gerald Ford","Republican","Michigan","Bob Dole","3","71 555","57 90",1976,"Alaska","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alaska"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","44 058","35 65",1976,"Alaska","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alaska"
"Roger MacBride","Libertarian","Vermont","David Bergland","0","6 785","5 49",1976,"Alaska","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alaska"
"Ronald Reagan","Republican","California","George H W Bush","3","86 112","54 35",1980,"Alaska","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alaska"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","41 842","26 41",1980,"Alaska","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alaska"
"Ronald Reagan","Republican","California","George H W Bush","3","138 377","66 65",1984,"Alaska","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alaska"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","62 007","29 87",1984,"Alaska","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alaska"
"George H W Bush","Republican","Texas","Dan Quayle","3","119 251","59 59",1988,"Alaska","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alaska"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","72 584","36 27",1988,"Alaska","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alaska"
"George H W Bush","Republican","Texas","Dan Quayle","3","102 000","39 46",1992,"Alaska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alaska"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","78 294","30 29",1992,"Alaska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alaska"
