"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","9","106 682","58 05",1920,"Arkansas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arkansas"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","71 948","39 15",1920,"Arkansas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arkansas"
"John W Davis","Democratic","West Virginia","Charles W Bryan","9","84 790","61 20",1924,"Arkansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","40 583","29 29",1924,"Arkansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","13 167","9 50",1924,"Arkansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas"
"Al Smith","Democratic","New York","Joseph T Robinson","9","123 140","61 06",1928,"Arkansas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arkansas"
"Herbert Hoover","Republican","California","Charles Curtis","0","77 789","38 57",1928,"Arkansas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arkansas"
"Franklin D Roosevelt","Democratic","New York","John N Garner","9","189 529","86 44",1932,"Arkansas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arkansas"
"Herbert Hoover","Republican","California","Charles Curtis","0","27 465","12 53",1932,"Arkansas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arkansas"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","9","146 765","81 80",1936,"Arkansas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arkansas"
"Alf Landon","Republican","Kansas","Frank Knox","0","32 039","17 86",1936,"Arkansas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arkansas"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","9","157 213","78 44",1940,"Arkansas","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arkansas"
"Wendell Willkie","Republican","New York","Charles L McNary","0","42 122","21 02",1940,"Arkansas","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arkansas"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","9","148 965","69 9",1944,"Arkansas","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arkansas"
"Thomas E Dewey","Republican","New York","John W Bricker","0","63 551","29 8",1944,"Arkansas","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arkansas"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","9","149 659","61 7",1948,"Arkansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas"
"Thomas Dewey","Republican","New York","Earl Warren","0","50 959","21 0",1948,"Arkansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright","0","40 068","16 5",1948,"Arkansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","8","226 300","55 9",1952,"Arkansas","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arkansas"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","0","177 155","43 8",1952,"Arkansas","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arkansas"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","8","213 777","52 5",1956,"Arkansas","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arkansas"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","0","186 287","45 8",1956,"Arkansas","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arkansas"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","8","215 049","50 2",1960,"Arkansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","184 508","43 1",1960,"Arkansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas"
"Orval Faubus","National States Rights Party","Arkansas","John G Crommelin","0","28 952","6 8",1960,"Arkansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","6","314 197","56 1",1964,"Arkansas","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arkansas"
"Barry Goldwater","Republican","Arizona","William E Miller","0","243 264","43 4",1964,"Arkansas","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arkansas"
"George Wallace","American Independent","Alabama","Curtis LeMay","6","235 627","38 7",1968,"Arkansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas"
"Richard Nixon","Republican","New York","Spiro Agnew","0","189 062","31 0",1968,"Arkansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","184 901","30 3",1968,"Arkansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas"
"Richard Nixon","Republican","California","Spiro Agnew","6","445 751","68 8",1972,"Arkansas","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arkansas"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","198 899","30 7",1972,"Arkansas","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arkansas"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","6","499 614","64 94",1976,"Arkansas","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arkansas"
"Gerald Ford","Republican","Michigan","Bob Dole","0","268 753","34 93",1976,"Arkansas","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arkansas"
"Ronald Reagan","Republican","California","George H W Bush","6","403 164","48 1",1980,"Arkansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arkansas"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","398 041","47 5",1980,"Arkansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arkansas"
"Ronald Reagan","Republican","California","George H W Bush","6","534 774","60 47",1984,"Arkansas","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arkansas"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","338 646","38 29",1984,"Arkansas","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arkansas"
"George H W Bush","Republican","Texas","Dan Quayle","6","466 578","56 37",1988,"Arkansas","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arkansas"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","349 237","42 19",1988,"Arkansas","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arkansas"
"Bill Clinton","Democratic","Arkansas","Al Gore","6","505 823","53 21",1992,"Arkansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arkansas"
"George H W Bush","Republican","Texas","Dan Quayle","0","337 324","35 48",1992,"Arkansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arkansas"
"Ross Perot","Independent","Texas","James Stockdale","0","99 132","10 43",1992,"Arkansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arkansas"
"Bill Clinton","Democratic","Arkansas","Al Gore","6","475 171","53 74",1996,"Arkansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arkansas"
"Bob Dole","Republican","Kansas","Jack Kemp","0","325 416","36 80",1996,"Arkansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arkansas"
"Ross Perot","Reform","Texas","Pat Choate","0","69 884","7 90",1996,"Arkansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arkansas"
"George W Bush","Republican","Texas","Dick Cheney","6","472 940","51 31",2000,"Arkansas","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arkansas"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","422 768","45 86",2000,"Arkansas","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arkansas"
"George W Bush","Republican","Texas","Dick Cheney","6","572 898","54 31",2004,"Arkansas","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arkansas"
"John Kerry","Democratic","Massachusetts","John Edwards","0","469 953","44 55",2004,"Arkansas","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arkansas"
"John McCain","Republican","Arizona","Sarah Palin","6","638 017","58 72",2008,"Arkansas","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arkansas"
"Barack Obama","Democratic","Illinois","Joe Biden","0","422 310","38 86",2008,"Arkansas","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arkansas"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","6","647 744","60 57",2012,"Arkansas","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arkansas"
"Barack Obama","Democratic","Illinois","Joe Biden","0","394 409","36 88",2012,"Arkansas","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arkansas"
"Donald Trump","Republican","New York","Mike Pence","6","684 872","60 57",2016,"Arkansas","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arkansas"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","380 494","33 65",2016,"Arkansas","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arkansas"
