"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","3","52 858","55 71",1920,"Delaware","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Delaware"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","39 911","42 07",1920,"Delaware","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Delaware"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","3","52 441","57 70",1924,"Delaware","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Delaware"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","33 445","36 80",1924,"Delaware","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Delaware"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","4 979","5 48",1924,"Delaware","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Delaware"
"Herbert Hoover","Republican","California","Charles Curtis","3","68 860","65 03",1928,"Delaware","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Delaware"
"Al Smith","Democratic","New York","Joseph T Robinson","0","36 643","34 60",1928,"Delaware","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Delaware"
"Herbert Hoover","Republican","California","Charles Curtis","3","57 073","50 55",1932,"Delaware","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Delaware"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","0","54 319","48 11",1932,"Delaware","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Delaware"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","69 702","54 62",1936,"Delaware","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Delaware"
"Alf Landon","Republican","Kansas","Frank Knox","0","57 236","44 85",1936,"Delaware","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Delaware"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","3","74 599","54 7",1940,"Delaware","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Delaware"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","61 440","45 1",1940,"Delaware","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Delaware"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","3","68 166","54 4",1944,"Delaware","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Delaware"
"Thomas E Dewey","Republican","New York","John W Bricker","0","56 747","45 3",1944,"Delaware","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Delaware"
"Thomas E Dewey","Republican","New York","Earl Warren","3","69 588","50 0",1948,"Delaware","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Delaware"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","67 813","48 8",1948,"Delaware","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Delaware"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","3","90 059","51 8",1952,"Delaware","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Delaware"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","83 315","47 9",1952,"Delaware","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Delaware"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","3","98 057","55 1",1956,"Delaware","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Delaware"
