"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","29","1 420 480","67 81",1920,"Illinois","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Illinois"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","534 395","25 51",1920,"Illinois","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Illinois"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","29","1 453 321","58 84",1924,"Illinois","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Illinois"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","576 975","23 36",1924,"Illinois","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Illinois"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","432 027","17 49",1924,"Illinois","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Illinois"
"Herbert Hoover","Republican","California","Charles Curtis","29","1 769 141","56 93",1928,"Illinois","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Illinois"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","1 313 817","42 28",1928,"Illinois","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Illinois"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","29","1 882 304","55 2",1932,"Illinois","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Illinois"
"Herbert Hoover","Republican","California","Charles Curtis","0","1 432 756","42 0",1932,"Illinois","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Illinois"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","29","2 282 999","57 70",1936,"Illinois","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Illinois"
"Alf Landon","Republican","Kansas","Frank Knox","0","1 570 393","39 69",1936,"Illinois","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Illinois"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","29","2 149 934","50 9",1940,"Illinois","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Illinois"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","2 047 240","48 5",1940,"Illinois","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Illinois"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","28","2 079 479","51 5",1944,"Illinois","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Illinois"
"Thomas E Dewey","Republican","New York","John W Bricker","0","1 939 314","48 1",1944,"Illinois","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Illinois"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","28","1 994 715","50 1",1948,"Illinois","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Illinois"
"Thomas E Dewey","Republican","New York","Earl Warren","0","1 961 103","49 2",1948,"Illinois","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Illinois"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","27","2 457 327","54 84",1952,"Illinois","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Illinois"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","2 013 920","44 94",1952,"Illinois","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Illinois"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","27","2 623 327","59 5",1956,"Illinois","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Illinois"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","1 775 682","40 3",1956,"Illinois","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Illinois"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","27","2 377 846","49 98",1960,"Illinois","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Illinois"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","2 368 988","49 80",1960,"Illinois","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Illinois"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","26","2 796 833","59 5",1964,"Illinois","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Illinois"
"Barry Goldwater","Republican","Arizona","William E Miller","0","1 905 946","40 5",1964,"Illinois","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Illinois"
"Richard Nixon","Republican","New York","Spiro Agnew","26","2 174 774","47 08",1968,"Illinois","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Illinois"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","2 039 814","44 15",1968,"Illinois","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Illinois"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","390 958","8 46",1968,"Illinois","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Illinois"
"Richard Nixon","Republican","California","Spiro Agnew","26","2 788 179","59 0",1972,"Illinois","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Illinois"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","1 913 472","40 5",1972,"Illinois","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Illinois"
"Gerald Ford","Republican","Michigan","Bob Dole","26","2 364 269","50 10",1976,"Illinois","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Illinois"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","2 271 295","48 13",1976,"Illinois","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Illinois"
"Ronald Reagan","Republican","California","George H W Bush","26","2 358 049","49 7",1980,"Illinois","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Illinois"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","1 981 413","41 7",1980,"Illinois","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Illinois"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","346 754","7 3",1980,"Illinois","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Illinois"
"Ronald Reagan","Republican","California","George H W Bush","24","2 707 103","56 17",1984,"Illinois","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Illinois"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","2 086 499","43 30",1984,"Illinois","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Illinois"
"George H W Bush","Republican","Texas","Dan Quayle","24","2 310 939","50 69",1988,"Illinois","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Illinois"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","2 215 940","48 60",1988,"Illinois","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Illinois"
