"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","15","696 370","55 14",1920,"Indiana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Indiana"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","511 364","40 49",1920,"Indiana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Indiana"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","15","703 042","55 25",1924,"Indiana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Indiana"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","492 245","38 69",1924,"Indiana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Indiana"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","71 700","5 64",1924,"Indiana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Indiana"
"Herbert Hoover","Republican","California","Charles Curtis","15","848 290","59 68",1928,"Indiana","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Indiana"
"Al Smith","Democratic","New York","Joseph T Robinson","0","562 691","39 59",1928,"Indiana","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Indiana"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","14","862 054","54 7",1932,"Indiana","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Indiana"
"Herbert Hoover","Republican","California","Charles Curtis","0","677 184","42 9",1932,"Indiana","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Indiana"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","14","934 974","56 6",1936,"Indiana","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Indiana"
"Alf Landon","Republican","Kansas","Frank Knox","0","691 570","41 9",1936,"Indiana","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Indiana"
"Wendell Willkie","Republican","Indiana","Charles L McNary","14","899 466","50 5",1940,"Indiana","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Indiana"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","874 063","49 0",1940,"Indiana","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Indiana"
"Thomas E Dewey","Republican","New York","John W Bricker","13","875 891","52 4",1944,"Indiana","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Indiana"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","781 403","46 7",1944,"Indiana","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Indiana"
"Thomas E Dewey","Republican","New York","Earl Warren","13","821 079","49 6",1948,"Indiana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Indiana"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","807 833","48 8",1948,"Indiana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Indiana"
