"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","13","634 674","70 91",1920,"Iowa","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Iowa"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","227 921","25 46",1920,"Iowa","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Iowa"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","13","537 458","55 02",1924,"Iowa","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Iowa"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","274 448","28 10",1924,"Iowa","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Iowa"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","160 382","16 42",1924,"Iowa","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Iowa"
"Herbert Hoover","Republican","California","Charles Curtis","13","623 570","61 77",1928,"Iowa","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Iowa"
"Al Smith","Democratic","New York","Joseph T Robinson","0","379 311","37 57",1928,"Iowa","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Iowa"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","598 019","57 7",1932,"Iowa","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Iowa"
"Herbert Hoover","Republican","California","Charles Curtis","0","414 433","40 0",1932,"Iowa","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Iowa"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","621 756","54 4",1936,"Iowa","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Iowa"
"Alf Landon","Republican","Kansas","Frank Knox","0","487 977","42 7",1936,"Iowa","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Iowa"
"Wendell Willkie","Republican","Indiana","Charles L McNary","11","632 370","52 0",1940,"Iowa","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Iowa"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","0","578 800","47 6",1940,"Iowa","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Iowa"
"Thomas E Dewey","Republican","New York","John W Bricker","10","547 267","51 9",1944,"Iowa","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Iowa"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","0","499 876","47 5",1944,"Iowa","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Iowa"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","10","522 380","50 3",1948,"Iowa","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Iowa"
"Thomas E Dewey","Republican","New York","Earl Warren","0","494 018","47 6",1948,"Iowa","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Iowa"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","10","808 906","63 75",1952,"Iowa","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Iowa"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","451 513","35 59",1952,"Iowa","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Iowa"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","10","729 187","59 1",1956,"Iowa","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Iowa"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","501 858","40 7",1956,"Iowa","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Iowa"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","10","722 381","56 7",1960,"Iowa","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Iowa"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","550 565","43 2",1960,"Iowa","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Iowa"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","9","733 030","61 9",1964,"Iowa","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Iowa"
"Barry Goldwater","Republican","Arizona","William E Miller","0","449 148","37 9",1964,"Iowa","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Iowa"
"Richard Nixon","Republican","New York","Spiro Agnew","9","619 106","53 0",1968,"Iowa","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Iowa"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","476 699","40 8",1968,"Iowa","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Iowa"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","66 422","5 69",1968,"Iowa","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Iowa"
"Richard Nixon","Republican","California","Spiro Agnew","8","706 207","57 61",1972,"Iowa","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Iowa"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","496 206","40 48",1972,"Iowa","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Iowa"
"Gerald Ford","Republican","Michigan","Bob Dole","8","632 863","49 5",1976,"Iowa","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Iowa"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","619 931","48 5",1976,"Iowa","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Iowa"
"Ronald Reagan","Republican","California","George H W Bush","8","676 026","51 31",1980,"Iowa","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Iowa"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","508 672","38 60",1980,"Iowa","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Iowa"
"John B Anderson","Nominated By Petition","Illinois","Patrick Lucey","0","115 633","8 78",1980,"Iowa","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Iowa"
"Ronald Reagan","Republican","California","George H W Bush","8","703 088","53 27",1984,"Iowa","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Iowa"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","605 620","45 89",1984,"Iowa","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Iowa"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","8","670 557","54 71",1988,"Iowa","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Iowa"
"George H W Bush","Republican","Texas","Dan Quayle","0","545 355","44 50",1988,"Iowa","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Iowa"
"Bill Clinton","Democratic","Arkansas","Al Gore","7","586 353","43 29",1992,"Iowa","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Iowa"
"George H W Bush","Republican","Texas","Dan Quayle","0","504 891","37 27",1992,"Iowa","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Iowa"
"Ross Perot","Independent","Texas","James Stockdale","0","253 468","18 71",1992,"Iowa","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Iowa"
"Bill Clinton","Democratic","Arkansas","Al Gore","7","620 258","50 26",1996,"Iowa","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Iowa"
"Bob Dole","Republican","Kansas","Jack Kemp","0","492 644","39 92",1996,"Iowa","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Iowa"
"Ross Perot","Reform","Texas","James Campbell","0","105 159","8 52",1996,"Iowa","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Iowa"
"Al Gore","Democratic","Tennessee","Joe Lieberman","7","638 517","48 54",2000,"Iowa","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Iowa"
"George W Bush","Republican","Texas","Dick Cheney","0","634 373","48 22",2000,"Iowa","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Iowa"
"George W Bush","Republican","Texas","Dick Cheney","7","751 957","49 90",2004,"Iowa","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Iowa"
"John Kerry","Democratic","Massachusetts","John Edwards","0","741 898","49 23",2004,"Iowa","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Iowa"
"Barack Obama","Democratic","Illinois","Joe Biden","7","828 940","53 93",2008,"Iowa","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Iowa"
"John McCain","Republican","Arizona","Sarah Palin","0","682 379","44 39",2008,"Iowa","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Iowa"
"Barack Obama","Democratic","Illinois","Joe Biden","6","822 544","51 99",2012,"Iowa","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Iowa"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","730 617","46 18",2012,"Iowa","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Iowa"
"Donald Trump","Republican","New York","Mike Pence","6","800 983","51 15",2016,"Iowa","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Iowa"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","653 669","41 74",2016,"Iowa","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Iowa"
