"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","10","87 519","69 24",1920,"Louisiana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Louisiana"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","38 538","30 49",1920,"Louisiana","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Louisiana"
"John W Davis","Democratic","West Virginia","Charles W Bryan","10","93 218","76 44",1924,"Louisiana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Louisiana"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","24 670","20 23",1924,"Louisiana","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Louisiana"
"Al Smith","Democratic","New York","Joseph T Robinson","10","164 655","76 29",1928,"Louisiana","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Louisiana"
"Herbert Hoover","Republican","California","Charles Curtis","0","51 160","23 70",1928,"Louisiana","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Louisiana"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","10","249 418","92 8",1932,"Louisiana","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Louisiana"
"Herbert Hoover","Republican","California","Charles Curtis","0","18 853","7 0",1932,"Louisiana","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Louisiana"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","10","292 894","88 8",1936,"Louisiana","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Louisiana"
"Alf Landon","Republican","Kansas","Frank Knox","0","36 791","11 2",1936,"Louisiana","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Louisiana"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","10","319 751","85 9",1940,"Louisiana","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Louisiana"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","52 446","14 1",1940,"Louisiana","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Louisiana"
"Franklin D Roosevelt","Democratic","New York","Harry Truman","10","281 564","80 59",1944,"Louisiana","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Louisiana"
"Thomas E Dewey","Republican","New York","John Bricker","0","67 750","19 39",1944,"Louisiana","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Louisiana"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright","10","204 290","49 1",1948,"Louisiana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Louisiana"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","136 344","32 8",1948,"Louisiana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Louisiana"
"Thomas E Dewey","Republican","New York","Earl Warren","0","72 657","17 5",1948,"Louisiana","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Louisiana"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","10","345 027","52 9",1952,"Louisiana","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Louisiana"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","0","306 925","47 1",1952,"Louisiana","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Louisiana"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","10","329 047","53 3",1956,"Louisiana","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Louisiana"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","243 977","39 5",1956,"Louisiana","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Louisiana"
"Unpledged electors","Independent","Running mate","Electoral vote","0","44 520","7 21",1956,"Louisiana","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Louisiana"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","10","407 339","50 4",1960,"Louisiana","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Louisiana"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","230 980","28 6",1960,"Louisiana","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Louisiana"
"Unpledged electors","States Rights","Running mate","Electoral vote","0","169 752","21 0",1960,"Louisiana","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Louisiana"
"Barry Goldwater","Republican","Arizona","William E Miller","10","509 225","56 8",1964,"Louisiana","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Louisiana"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","0","387 068","43 2",1964,"Louisiana","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Louisiana"
"George Wallace","American Independent","Alabama","Curtis LeMay","10","530 300","48 32",1968,"Louisiana","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Louisiana"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","309 615","28 21",1968,"Louisiana","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Louisiana"
"Richard Nixon","Republican","New York","Spiro Agnew","0","257 535","23 47",1968,"Louisiana","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Louisiana"
"Richard Nixon","Republican","California","Spiro Agnew","10","686 852","65 32",1972,"Louisiana","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Louisiana"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","298 142","28 35",1972,"Louisiana","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Louisiana"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","10","661 365","51 7",1976,"Louisiana","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Louisiana"
"Gerald Ford","Republican","Michigan","Bob Dole","0","587 446","45 9",1976,"Louisiana","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Louisiana"
"Ronald Reagan","Republican","California","George H W Bush","10","792 853","51 2",1980,"Louisiana","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Louisiana"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","708 453","45 8",1980,"Louisiana","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Louisiana"
"Ronald Reagan","Republican","California","George H W Bush","10","1 037 299","60 77",1984,"Louisiana","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Louisiana"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","651 586","38 18",1984,"Louisiana","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Louisiana"
"George H W Bush","Republican","Texas","Dan Quayle","10","883 702","54 27",1988,"Louisiana","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Louisiana"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","717 460","44 06",1988,"Louisiana","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Louisiana"
"Bill Clinton","Democratic","Arkansas","Al Gore","9","815 971","45 58",1992,"Louisiana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Louisiana"
"George H W Bush","Republican","Texas","Dan Quayle","0","733 386","40 97",1992,"Louisiana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Louisiana"
"Ross Perot","Independent","Texas","James Stockdale","0","211 478","11 81",1992,"Louisiana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Louisiana"
"Bill Clinton","Democratic","Arkansas","Al Gore","9","927 837","52 01",1996,"Louisiana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Louisiana"
"Bob Dole","Republican","Kansas","Jack Kemp","0","712 586","39 94",1996,"Louisiana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Louisiana"
"Ross Perot","Reform","Texas","James Campbell","0","123 293","6 91",1996,"Louisiana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Louisiana"
"George W Bush","Republican","Texas","Dick Cheney","9","927 871","52 55",2000,"Louisiana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Louisiana"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","792 344","44 88",2000,"Louisiana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Louisiana"
"George W Bush","Republican","Texas","Dick Cheney","9","1 102 169","56 72",2004,"Louisiana","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Louisiana"
"John Kerry","Democratic","Massachusetts","John Edwards","0","820 299","42 22",2004,"Louisiana","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Louisiana"
"John McCain","Republican","Arizona","Sarah Palin","9","1 148 275","58 56",2008,"Louisiana","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Louisiana"
