"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","3","15 479","56 92",1920,"Nevada","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nevada"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","9 851","36 22",1920,"Nevada","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nevada"
"Eugene V Debs","Socialist","Indiana","Seymour Stedman","0","1 864","6 85",1920,"Nevada","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nevada"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","3","11 243","41 76",1924,"Nevada","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nevada"
"Robert M La Follette","Independent","Wisconsin","Burton K Wheeler","0","9 769","36 29",1924,"Nevada","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nevada"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","5 909","21 95",1924,"Nevada","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nevada"
"Herbert Hoover","Republican","California","Charles Curtis","3","18 327","56 54",1928,"Nevada","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nevada"
"Al Smith","Democratic","New York","Joseph Taylor Robinson","0","14 090","43 46",1928,"Nevada","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nevada"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","28 756","69 4",1932,"Nevada","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nevada"
"Herbert Hoover","Republican","California","Charles Curtis","0","12 674","30 6",1932,"Nevada","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nevada"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","3","31 925","72 8",1936,"Nevada","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nevada"
"Alf Landon","Republican","Kansas","Frank Knox","0","11 923","27 2",1936,"Nevada","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nevada"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","3","31 945","60 1",1940,"Nevada","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nevada"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","21 229","39 9",1940,"Nevada","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nevada"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","3","29 623","54 6",1944,"Nevada","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nevada"
"Thomas E Dewey","Republican","New York","John W Bricker","0","24 611","45 4",1944,"Nevada","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nevada"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","3","31 291","50 4",1948,"Nevada","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nevada"
"Thomas E Dewey","Republican","New York","Earl Warren","0","29 357","47 3",1948,"Nevada","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nevada"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","3","50 502","61 45",1952,"Nevada","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nevada"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","31 688","38 55",1952,"Nevada","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nevada"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","3","56 049","57 9",1956,"Nevada","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nevada"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","40 640","42 0",1956,"Nevada","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nevada"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","3","54 880","51 16",1960,"Nevada","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nevada"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","52 387","48 84",1960,"Nevada","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nevada"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","3","79 339","58 6",1964,"Nevada","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nevada"
"Barry Goldwater","Republican","Arizona","William E Miller","0","56 094","41 4",1964,"Nevada","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nevada"
"Richard Nixon","Republican","New York","Spiro Agnew","3","73 188","47 5",1968,"Nevada","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nevada"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","60 598","39 3",1968,"Nevada","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nevada"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","20 432","13 3",1968,"Nevada","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nevada"
"Richard Nixon","Republican","California","Spiro Agnew","3","115 750","63 68",1972,"Nevada","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nevada"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","66 016","36 32",1972,"Nevada","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nevada"
"Gerald Ford","Republican","Michigan","Bob Dole","3","101 273","50 17",1976,"Nevada","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Nevada"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","92 479","45 81",1976,"Nevada","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Nevada"
"Ronald Reagan","Republican","California","George H W Bush","3","155 017","62 54",1980,"Nevada","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nevada"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","66 666","26 89",1980,"Nevada","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nevada"
"John B Anderson","Independent","Illinois","Patrick Lucey","0","17 651","7 12",1980,"Nevada","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nevada"
"Ronald Reagan","Republican","California","George H W Bush","4","188 770","65 85",1984,"Nevada","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nevada"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","91 655","31 97",1984,"Nevada","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nevada"
"George H W Bush","Republican","Texas","Dan Quayle","4","206 040","58 86",1988,"Nevada","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nevada"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","132 738","37 92",1988,"Nevada","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nevada"
"Bill Clinton","Democratic","Arkansas","Al Gore","4","189 148","37 36",1992,"Nevada","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nevada"
"George H W Bush","Republican","Texas","Dan Quayle","0","175 828","34 73",1992,"Nevada","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nevada"
"Ross Perot","Independent","Texas","James Stockdale","0","132 580","26 19",1992,"Nevada","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nevada"
"Bill Clinton","Democratic","Arkansas","Al Gore","4","203 974","43 93",1996,"Nevada","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nevada"
"Bob Dole","Republican","Kansas","Jack Kemp","0","199 244","42 91",1996,"Nevada","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nevada"
"Ross Perot","Reform","Texas","Pat Choate","0","43 986","9 47",1996,"Nevada","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nevada"
"George W Bush","Republican","Texas","Dick Cheney","4","301 575","49 52",2000,"Nevada","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nevada"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","279 978","45 98",2000,"Nevada","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nevada"
"George W Bush","Republican","Texas","Dick Cheney","5","418 690","50 47",2004,"Nevada","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nevada"
"John Kerry","Democratic","Massachusetts","John Edwards","0","397 190","47 88",2004,"Nevada","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nevada"
"Barack Obama","Democratic","Illinois","Joe Biden","5","533 736","55 15",2008,"Nevada","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nevada"
"John McCain","Republican","Arizona","Sarah Palin","0","412 827","42 65",2008,"Nevada","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nevada"
"Barack Obama","Democratic","Illinois","Joe Biden","6","531 373","52 36",2012,"Nevada","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nevada"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","463 567","45 68",2012,"Nevada","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nevada"
"Hillary Clinton","Democratic","New York","Tim Kaine","6","539 260","47 92",2016,"Nevada","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nevada"
"Donald Trump","Republican","New York","Mike Pence","0","512 058","45 50",2016,"Nevada","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nevada"
