"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","12","305 447","56 69",1920,"North_Carolina","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Carolina"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","232 848","43 22",1920,"North_Carolina","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Carolina"
"John W Davis","Democratic","West Virginia","Charles W Bryan","12","284 270","58 89",1924,"North_Carolina","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Carolina"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","191 753","39 73",1924,"North_Carolina","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Carolina"
"Herbert Hoover","Republican","California","Charles Curtis","12","348 923","54 94",1928,"North_Carolina","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_North_Carolina"
"Al Smith","Democratic","New York","Joseph T Robinson","0","286 227","45 06",1928,"North_Carolina","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_North_Carolina"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","13","497 566","69 9",1932,"North_Carolina","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_North_Carolina"
"Herbert Hoover","Republican","California","Charles Curtis","0","208 344","29 3",1932,"North_Carolina","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_North_Carolina"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","13","616 141","73 4",1936,"North_Carolina","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Carolina"
"Alf Landon","Republican","Kansas","Frank Knox","0","223 283","26 6",1936,"North_Carolina","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Carolina"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","13","609 015","74 03",1940,"North_Carolina","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_North_Carolina"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","213 633","25 97",1940,"North_Carolina","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_North_Carolina"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","14","527 399","66 7",1944,"North_Carolina","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_North_Carolina"
"Thomas E Dewey","Republican","New York","John W Bricker","0","263 155","33 3",1944,"North_Carolina","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_North_Carolina"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","14","459 070","58 0",1948,"North_Carolina","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Carolina"
"Thomas E Dewey","Republican","New York","Earl Warren","0","258 572","32 7",1948,"North_Carolina","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Carolina"
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright","0","69 652","8 8",1948,"North_Carolina","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Carolina"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","14","652 803","53 9",1952,"North_Carolina","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_North_Carolina"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","0","558 107","46 1",1952,"North_Carolina","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_North_Carolina"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","14","590 530","50 7",1956,"North_Carolina","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_North_Carolina"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","0","575 062","49 3",1956,"North_Carolina","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_North_Carolina"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","14","713 136","52 1",1960,"North_Carolina","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_North_Carolina"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","655 420","47 9",1960,"North_Carolina","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_North_Carolina"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","13","800 139","56 1",1964,"North_Carolina","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_North_Carolina"
"Barry Goldwater","Republican","Arizona","William E Miller","0","624 844","43 9",1964,"North_Carolina","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_North_Carolina"
"Richard M Nixon","Republican","New York","Spiro T Agnew","12","627 192","39 5",1968,"North_Carolina","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Carolina"
"George Wallace","American","Alabama","Curtis LeMay","1","496 188","31 3",1968,"North_Carolina","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Carolina"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","464 113","29 2",1968,"North_Carolina","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Carolina"
"Richard Nixon","Republican","California","Spiro Agnew","13","1 054 889","69 5",1972,"North_Carolina","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_North_Carolina"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","438 705","28 9",1972,"North_Carolina","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_North_Carolina"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","13","927 365","55 27",1976,"North_Carolina","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_North_Carolina"
"Gerald Ford","Republican","Michigan","Bob Dole","0","741 960","44 22",1976,"North_Carolina","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_North_Carolina"
"Ronald Reagan","Republican","California","George H W Bush","13","915 018","49 30",1980,"North_Carolina","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Carolina"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","875 635","47 18",1980,"North_Carolina","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Carolina"
"Ronald Reagan","Republican","California","George H W Bush","13","1 346 481","61 90",1984,"North_Carolina","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_North_Carolina"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","824 287","37 89",1984,"North_Carolina","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_North_Carolina"
"George H W Bush","Republican","Texas","Dan Quayle","13","1 237 258","57 97",1988,"North_Carolina","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_North_Carolina"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","890 167","41 71",1988,"North_Carolina","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_North_Carolina"
"George H W Bush","Republican","Texas","Dan Quayle","14","1 134 661","43 44",1992,"North_Carolina","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Carolina"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","1 114 042","42 65",1992,"North_Carolina","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Carolina"
"Ross Perot","Independent","Texas","James Stockdale","0","357 864","13 70",1992,"North_Carolina","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Carolina"
"Bob Dole","Republican","Kansas","Jack Kemp","14","1 225 938","48 73",1996,"North_Carolina","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_North_Carolina"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","1 107 849","44 04",1996,"North_Carolina","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_North_Carolina"
"Ross Perot","Reform","Texas","Pat Choate","0","168 059","6 68",1996,"North_Carolina","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_North_Carolina"
"George W Bush","Republican","Texas","Dick Cheney","14","1 631 163","56 03",2000,"North_Carolina","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_North_Carolina"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","1 257 692","43 20",2000,"North_Carolina","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_North_Carolina"
"George W Bush","Republican","Texas","Dick Cheney","15","1 961 166","56 02",2004,"North_Carolina","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_North_Carolina"
"John Kerry","Democratic","Massachusetts","John Edwards","0","1 525 849","43 58",2004,"North_Carolina","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_North_Carolina"
"Barack Obama","Democratic","Illinois","Joe Biden","15","2 142 651","49 70",2008,"North_Carolina","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_North_Carolina"
"John McCain","Republican","Arizona","Sarah Palin","0","2 128 474","49 38",2008,"North_Carolina","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_North_Carolina"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","15","2 270 395","50 39",2012,"North_Carolina","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_North_Carolina"
"Barack Obama","Democratic","Illinois","Joe Biden","0","2 178 391","48 35",2012,"North_Carolina","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_North_Carolina"
