"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","10","243 831","50 11",1920,"Oklahoma","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Oklahoma"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","217 053","44 61",1920,"Oklahoma","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Oklahoma"
"Eugene V Debs","Socialist","Indiana","Seymour Stedman","0","25 726","5 29",1920,"Oklahoma","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Oklahoma"
"John W Davis","Democratic","West Virginia","Charles W Bryan","10","255 798","48 41",1924,"Oklahoma","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Oklahoma"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","226 242","42 82",1924,"Oklahoma","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Oklahoma"
"Robert M La Follette","Farmer Labor","Wisconsin","Burton K Wheeler","0","46 375","8 78",1924,"Oklahoma","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Oklahoma"
"Herbert Hoover","Republican","California","Charles Curtis","10","394 046","63 82",1928,"Oklahoma","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Oklahoma"
"Al Smith","Democratic","New York","Joseph T Robinson","0","219 174","35 44",1928,"Oklahoma","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Oklahoma"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","516 468","73 3",1932,"Oklahoma","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Oklahoma"
"Herbert Hoover","Republican","California","Charles Curtis","0","188 165","26 7",1932,"Oklahoma","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Oklahoma"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","11","501 069","66 8",1936,"Oklahoma","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Oklahoma"
"Alf Landon","Republican","Kansas","Frank Knox","0","245 122","32 7",1936,"Oklahoma","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Oklahoma"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","11","474 313","57 4",1940,"Oklahoma","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Oklahoma"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","348 872","42 2",1940,"Oklahoma","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Oklahoma"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","10","401 549","55 57",1944,"Oklahoma","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Oklahoma"
"Thomas E Dewey","Republican","New York","John W Bricker","0","319 424","44 2",1944,"Oklahoma","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Oklahoma"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","10","452 782","62 75",1948,"Oklahoma","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Oklahoma"
"Thomas E Dewey","Republican","New York","Earl Warren","0","268 817","37 25",1948,"Oklahoma","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Oklahoma"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","8","518 045","54 59",1952,"Oklahoma","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Oklahoma"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","430 939","45 41",1952,"Oklahoma","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Oklahoma"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","8","473 769","55 1",1956,"Oklahoma","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Oklahoma"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","385 581","44 9",1956,"Oklahoma","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Oklahoma"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","7","533 039","59 02",1960,"Oklahoma","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Oklahoma"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","0","370 111","40 98",1960,"Oklahoma","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Oklahoma"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","8","519 834","55 75",1964,"Oklahoma","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Oklahoma"
"Barry Goldwater","Republican","Arizona","William E Miller","0","412 665","44 25",1964,"Oklahoma","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Oklahoma"
"Richard Nixon","Republican","New York","Spiro Agnew","8","449 697","47 7",1968,"Oklahoma","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Oklahoma"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","0","301 658","32 0",1968,"Oklahoma","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Oklahoma"
"George Wallace","American Independent","Alabama","Curtis LeMay","0","191 731","20 3",1968,"Oklahoma","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Oklahoma"
"Richard Nixon","Republican","California","Spiro Agnew","8","759 025","73 7",1972,"Oklahoma","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Oklahoma"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","247 147","24 0",1972,"Oklahoma","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Oklahoma"
"Gerald Ford","Republican","Michigan","Bob Dole","8","545 708","49 96",1976,"Oklahoma","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Oklahoma"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","532 442","48 75",1976,"Oklahoma","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Oklahoma"
"Ronald Reagan","Republican","California","George H W Bush","8","695 570","60 50",1980,"Oklahoma","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Oklahoma"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","402 026","34 97",1980,"Oklahoma","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Oklahoma"
"Ronald Reagan","Republican","California","George H W Bush","8","861 530","68 61",1984,"Oklahoma","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Oklahoma"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","385 080","30 67",1984,"Oklahoma","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Oklahoma"
"George H W Bush","Republican","Texas","Dan Quayle","8","678 367","57 93",1988,"Oklahoma","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Oklahoma"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","483 423","41 28",1988,"Oklahoma","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Oklahoma"
"George H W Bush","Republican","Texas","Dan Quayle","8","592 929","42 65",1992,"Oklahoma","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Oklahoma"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","473 066","34 02",1992,"Oklahoma","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Oklahoma"
"Ross Perot","Independent","Texas","James Stockdale","0","319 878","23 01",1992,"Oklahoma","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Oklahoma"
"Bob Dole","Republican","Kansas","Jack Kemp","8","582 315","48 26",1996,"Oklahoma","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Oklahoma"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","488 105","40 45",1996,"Oklahoma","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Oklahoma"
"Ross Perot","Reform","Texas","Pat Choate","0","130 788","10 84",1996,"Oklahoma","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Oklahoma"
"George W Bush","Republican","Texas","Dick Cheney","8","744 337","60 31",2000,"Oklahoma","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Oklahoma"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","474 276","38 43",2000,"Oklahoma","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Oklahoma"
"George W Bush","Republican","Texas","Dick Cheney","7","959 792","65 57",2004,"Oklahoma","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Oklahoma"
"John Kerry","Democratic","Massachusetts","John Edwards","0","503 966","34 43",2004,"Oklahoma","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Oklahoma"
"John McCain","Republican","Arizona","Sarah Palin","7","960 165","65 65",2008,"Oklahoma","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Oklahoma"
"Barack Obama","Democratic","Illinois","Joe Biden","0","502 496","34 35",2008,"Oklahoma","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Oklahoma"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","7","891 325","66 77",2012,"Oklahoma","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Oklahoma"
"Barack Obama","Democratic","Illinois","Joe Biden","0","443 547","33 23",2012,"Oklahoma","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Oklahoma"
"Donald Trump","Republican","New York","Mike Pence","7","949 136","65 32",2016,"Oklahoma","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Oklahoma"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","420 375","28 93",2016,"Oklahoma","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Oklahoma"
"Gary Johnson","Libertarian","New Mexico","Bill Weld","0","83 481","5 75",2016,"Oklahoma","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Oklahoma"
