"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","38","1 218 216","65 76",1920,"Pennsylvania","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Pennsylvania"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","0","503 843","27 20",1920,"Pennsylvania","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Pennsylvania"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","38","1 401 481","65 34",1924,"Pennsylvania","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Pennsylvania"
"John W Davis","Democratic","West Virginia","Charles W Bryan","0","409 192","19 08",1924,"Pennsylvania","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Pennsylvania"
"Robert M La Follette Sr","Labor Socialist","Wisconsin","Burton K Wheeler","0","307 567","14 3",1924,"Pennsylvania","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Pennsylvania"
"Herbert Hoover","Republican","California","Charles Curtis","38","2 055 382","65 24",1928,"Pennsylvania","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Pennsylvania"
"Al Smith","Democratic","New York","Joseph T Robinson","0","1 067 586","33 89",1928,"Pennsylvania","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Pennsylvania"
"Herbert Hoover","Republican","California","Charles Curtis","36","1 453 540","50 84",1932,"Pennsylvania","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Pennsylvania"
"Franklin D Roosevelt","Democratic","New York","John N Garner","0","1 295 948","45 33",1932,"Pennsylvania","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Pennsylvania"
"Franklin D Roosevelt","Democratic","New York","John N Garner","36","2 353 987","56 88",1936,"Pennsylvania","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Pennsylvania"
"Alf Landon","Republican","Kansas","Frank Knox","0","1 690 200","40 84",1936,"Pennsylvania","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Pennsylvania"
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace","36","2 171 035","53 23",1940,"Pennsylvania","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Pennsylvania"
"Wendell Willkie","Republican","Indiana","Charles L McNary","0","1 889 848","46 33",1940,"Pennsylvania","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Pennsylvania"
"Franklin D Roosevelt","Democratic","New York","Harry S Truman","35","1 940 479","51 14",1944,"Pennsylvania","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Pennsylvania"
"Thomas E Dewey","Republican","New York","John W Bricker","0","1 835 054","48 36",1944,"Pennsylvania","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Pennsylvania"
"Thomas E Dewey","Republican","New York","Earl Warren","35","1 902 197","50 93",1948,"Pennsylvania","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Pennsylvania"
"Harry S Truman","Democratic","Missouri","Alben W Barkley","0","1 752 426","46 92",1948,"Pennsylvania","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Pennsylvania"
"Dwight D Eisenhower","Republican","New York","Richard Nixon","32","2 415 789","52 74",1952,"Pennsylvania","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Pennsylvania"
"Adlai Stevenson","Democratic","Illinois","John Sparkman","0","2 146 269","46 85",1952,"Pennsylvania","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Pennsylvania"
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon","32","2 585 252","56 49",1956,"Pennsylvania","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Pennsylvania"
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver","0","1 981 769","43 30",1956,"Pennsylvania","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Pennsylvania"
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson","32","2 556 282","51 06",1960,"Pennsylvania","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Pennsylvania"
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr","0","2 439 956","48 74",1960,"Pennsylvania","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Pennsylvania"
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey","29","3 130 954","64 92",1964,"Pennsylvania","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Pennsylvania"
"Barry Goldwater","Republican","Arizona","William E Miller","0","1 673 657","34 70",1964,"Pennsylvania","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Pennsylvania"
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie","29","2 259 405","47 59",1968,"Pennsylvania","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Pennsylvania"
"Richard Nixon","Republican","New York","Spiro Agnew","0","2 090 017","44 02",1968,"Pennsylvania","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Pennsylvania"
"George Wallace","American Independent","Alabama","Marvin Griffin","0","378 582","7 97",1968,"Pennsylvania","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Pennsylvania"
"Richard Nixon","Republican","California","Spiro Agnew","27","2 714 521","59 11",1972,"Pennsylvania","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Pennsylvania"
"George McGovern","Democratic","South Dakota","Sargent Shriver","0","1 796 951","39 13",1972,"Pennsylvania","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Pennsylvania"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","27","2 328 677","50 40",1976,"Pennsylvania","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Pennsylvania"
"Gerald Ford","Republican","Michigan","Bob Dole","0","2 205 604","47 73",1976,"Pennsylvania","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Pennsylvania"
"Ronald Reagan","Republican","California","George H W Bush","27","2 261 872","49 59",1980,"Pennsylvania","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Pennsylvania"
"Jimmy Carter","Democratic","Georgia","Walter Mondale","0","1 937 540","42 48",1980,"Pennsylvania","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Pennsylvania"
"John Anderson","Independent","Illinois","Patrick Lucey","0","292 921","6 42",1980,"Pennsylvania","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Pennsylvania"
"Ronald Reagan","Republican","California","George H W Bush","25","2 584 323","53 34",1984,"Pennsylvania","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Pennsylvania"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","2 228 131","45 99",1984,"Pennsylvania","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Pennsylvania"
"George H W Bush","Republican","Texas","Dan Quayle","25","2 300 087","50 70",1988,"Pennsylvania","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Pennsylvania"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","2 194 944","48 39",1988,"Pennsylvania","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Pennsylvania"
"Bill Clinton","Democratic","Arkansas","Al Gore","23","2 239 164","45 15",1992,"Pennsylvania","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Pennsylvania"
"George H W Bush","Republican","Texas","Dan Quayle","0","1 791 841","36 12",1992,"Pennsylvania","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Pennsylvania"
"Ross Perot","Independent","Texas","James Stockdale","0","902 667","18 20",1992,"Pennsylvania","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Pennsylvania"
"Bill Clinton","Democratic","Arkansas","Al Gore","23","2 215 819","49 17",1996,"Pennsylvania","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Pennsylvania"
"Bob Dole","Republican","Kansas","Jack Kemp","0","1 801 169","39 97",1996,"Pennsylvania","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Pennsylvania"
"Ross Perot","Reform","Texas","Patrick Choate","0","430 984","9 56",1996,"Pennsylvania","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Pennsylvania"
"Al Gore","Democratic","Tennessee","Joe Lieberman","23","2 485 967","50 60",2000,"Pennsylvania","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Pennsylvania"
"George W Bush","Republican","Texas","Dick Cheney","0","2 281 127","46 43",2000,"Pennsylvania","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Pennsylvania"
"John Kerry","Democratic","Massachusetts","John Edwards","21","2 938 095","50 92",2004,"Pennsylvania","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Pennsylvania"
"George W Bush","Republican","Texas","Dick Cheney","0","2 793 847","48 42",2004,"Pennsylvania","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Pennsylvania"
"Barack Obama","Democratic","Illinois","Joe Biden","21","3 276 363","54 47",2008,"Pennsylvania","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Pennsylvania"
"John McCain","Republican","Arizona","Sarah Palin","0","2 655 885","44 15",2008,"Pennsylvania","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Pennsylvania"
"Barack Obama","Democratic","Illinois","Joe Biden","20","2 990 274","51 97",2012,"Pennsylvania","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Pennsylvania"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","2 680 434","46 59",2012,"Pennsylvania","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Pennsylvania"
"Donald Trump","Republican","New York","Mike Pence","20","2 970 733","48 18",2016,"Pennsylvania","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Pennsylvania"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","2 926 441","47 46",2016,"Pennsylvania","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Pennsylvania"
