"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"James M Cox","Democratic","Ohio","Franklin D Roosevelt","20","288 767","59 3",1920,"Texas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Texas"
"Warren G Harding","Republican","Ohio","Calvin Coolidge","0","114 538","23 5",1920,"Texas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Texas"
"John W Davis","Democratic","West Virginia","Charles W Bryan","20","484 605","73 7",1924,"Texas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Texas"
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes","0","130 023","19 8",1924,"Texas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Texas"
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler","0","42 881","6 5",1924,"Texas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Texas"
"Herbert Hoover","Republican","California","Charles Curtis","20","367 036","51 8",1928,"Texas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Texas"
"Al Smith","Democratic","New York","Joseph T Robinson","0","341 032","48 1",1928,"Texas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Texas"
"Franklin D Roosevelt","Democratic","New York","John N Garner","23","760 348","88 06",1932,"Texas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Texas"
"Herbert Hoover","Republican","California","Charles Curtis","0","97 959","11 35",1932,"Texas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Texas"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner","23","739 952","87 1",1936,"Texas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Texas"
"Alf Landon","Republican","Kansas","Frank Knox","0","104 661","12 3",1936,"Texas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Texas"
